,IDENTIFICATION,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS,SCHOOL_CORRECT,SCHOOL_RIGHT,OPTION
161,3895.0,TECHN,ca,i zanner,protestant,zanner,zanner,commmerciale et adm
192,4048.0,TECH,ca,inst zanner,protestant,zanner,zanner,commmerciale et adm
233,4217.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
292,4347.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
330,4409.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
364,4473.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
433,4627.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
447,4649.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
455,4667.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
458,4670.0,LITT,lp,zanner,protestant,zanner,zanner,latin philo
459,4671.0,TECH,ca,zanner,protestant,zanner,zanner,commmerciale et adm
516,4799.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
517,4800.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
622,5051.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
713,5718.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
747,6141.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
786,6235.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
787,6236.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
958,6569.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
1211,7213.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
1291,7365.0,LIT,lp,zanner,protestant,zanner,zanner,latin philo
1445,7722.0,TEC,ca,zanner,protestant,zanner,zanner,commmerciale et adm
1543,8115.0,TECHNIQUE,commerciale administrative,zanner,protestant,zanner,zanner,commmerciale et adm
1650,8247.0,LITERRAIRE,latin philo,zanner,protestant,zanner,zanner,latin philo
1677,8281.0,TECHNIQUE,commerciale administrative,zanner,protestant,zanner,zanner,commmerciale et adm
1724,8345.0,Littéraire,latin philo,zanner,protestant,zanner,zanner,latin philo
1750,8379.0,Technique,commerciale administrative,zanner,protestant,zanner,zanner,commmerciale et adm
1790,8431.0,LITERRAIRE,latin philo,zanner,protestant,zanner,zanner,latin philo
2073,8875.0,Technique,commerciale administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2119,8922.0,Littéraire,latin philo,zanner,protestant,zanner,zanner,latin philo
2217,9023.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2250,9057.0,Littéraire,latin philo,zanner,protestant,zanner,zanner,latin philo
2378,9195.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2524,9352.0,Littéraire,latin philo,zanner,protestant,zanner,zanner,latin philo
2577,9413.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2686,9542.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2688,9544.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2718,9582.0,Littéraire,latin philo,zanner,protestant,zanner,zanner,latin philo
2746,9618.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2775,9667.0,Littéraire,latin philo,zanner,protestant,zanner,zanner,latin philo
2842,9833.0,Technique,commerciale administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2868,9860.0,Litteraire,latin philo,zanner,protestant,zanner,zanner,latin philo
2869,9861.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2872,9864.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2877,9869.0,Littéraire,latin-philo,zanner,protestant,zanner,zanner,latin philo
2880,9872.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
2995,9994.0,Littéraire,latin philosophie,zanner,protestant,zanner,zanner,latin philo
2998,9997.0,Littéraire,latin philosophie,zanner,protestant,zanner,zanner,latin philo
3006,10007.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3028,10032.0,Littéraire,latin philosophie,zanner,protestant,zanner,zanner,latin philo
3053,10058.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3113,10124.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3145,10157.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3224,10237.0,Litteraire,latin philosophie,institut zanner,protestant,zanner,zanner,latin philo
3287,10303.0,Litteraire,latin philosophie,institut zanner,protestant,zanner,zanner,latin philo
3362,10384.0,Littéraire,latin philosophie,zanner,protestant,zanner,zanner,latin philo
3429,10459.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3446,10478.0,Littéraire,latin philosophie,zanner,protestant,zanner,zanner,latin philo
3519,10560.0,Littéraire,latin philisophie,zanner,protestant,zanner,zanner,latin philo
3539,10583.0,Littéraire,latin philisophie,zanner,protestant,zanner,zanner,latin philo
3559,10604.0,Littéraire,latin philisophie,zanner,protestant,zanner,zanner,latin philo
3664,10712.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3709,10758.0,Littéraire,latin philosophie,zanner,protestant,zanner,zanner,latin philo
3751,10800.0,Littéraire,latin-philosophie,zanner,protestant,zanner,zanner,latin philo
3752,10801.0,Technique,commerciale et administrative,zanner,protestant,zanner,zanner,commmerciale et adm
3909,11331.0,COMMERCIALE,commerciale et administrative,intitut zanner,protestant,zanner,zanner,commmerciale et adm
3945,11368.0,COMMERCIALE,commerciale et administrative,institut zaner,protestant,zaner,zanner,commmerciale et adm
3957,11382.0,COMMERCIALE,commerciale et administrative,institut zaner,protestant,zaner,zanner,commmerciale et adm
4008,11434.0,LITTERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
4089,11522.0,COMMERCIALE,commerciale et administrative,institut zanner,protestant,zanner,zanner,commmerciale et adm
4118,11556.0,COMMERCIALE,commerciale et administrative,institut zanner,protestant,zanner,zanner,commmerciale et adm
4168,11610.0,LITTERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
4249,11697.0,COMMERCIALE,commercialen et administraive,ionstitut zanner,protestant,ionstitut zanner,zanner,commmerciale et adm
4262,11711.0,LITERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
4263,11712.0,LITERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
4280,11730.0,LITERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
4467,11986.0,LITTERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
4497,12019.0,LITTERAIRE,latin philo,institut zanner,protestant,zanner,zanner,latin philo
58,3289.0,SCIENTIFIQUE,math physique,edap/isp,publique,edap/isp,edap/isp,math-physique
107,3691.0,TECHNIQUE,com et adm,edap/isp,publique,edap/isp,edap/isp,commmerciale et adm
427,4617.0,SC,bc,edap/isp,publique,edap/isp,edap/isp,bio-chimie
987,6626.0,SC,mp,edac isp,publique,edac isp,edap/isp,math-physique
1389,7611.0,SC,bc,edap isp,publique,edap isp,edap/isp,bio-chimie
1679,8283.0,TECHNIQUE,commerciale administrative,bdap/isp,publique,bdap/isp,edap/isp,commmerciale et adm
2488,9309.0,Scientifique,mathématique physique,edap/isp,publique,edap/isp,edap/isp,math-physique
2793,9700.0,Technique,commerciale et administrative,edap isp,publique,edap isp,edap/isp,commmerciale et adm
2797,9717.0,Technique,commerciale et administrative,edap/isp,publique,edap/isp,edap/isp,commmerciale et adm
4091,11525.0,SCIENTIFIQUE,mathematique- physique,edap/isp,publique,edap/isp,edap/isp,math-physique
739,5918.0,PEDAGOGIEQUE,peda generale,tulia asode,publique,tulia asode,mululusake,pedagogie
1982,8692.0,Pédagogique,pédagogie générale,mushimbakye,publique,mushimbakye,mululusake,pedagogie
3924,11347.0,PEDAGOGIE,pedagogie generale,institut mululu/sake,publique,mululu/sake,mululusake,pedagogie
4218,11662.0,PEDAGOGIE,pedagogie generale,institut mululu/sake,publique,mululu/sake,mululusake,pedagogie
4402,11862.0,TECHNIQUE,sociale,institut mululusake,publique,mululusake,mululusake,sociale
35,2509.0,TECH,ca,i d'ibanda,publique,d'ibanda,ibanda,commmerciale et adm
66,3440.0,PEDAGOGIEQUE,peda generale,inst ibanda,publique,ibanda,ibanda,pedagogie
89,3643.0,PED,pg,ibanda,publique,ibanda,ibanda,pedagogie
96,3651.0,TECHN,ca,i ibanda,publique,ibanda,ibanda,commmerciale et adm
142,3833.0,SCIENTIFIQUE,math physique,inst d'ibanda,publique,d'ibanda,ibanda,math-physique
257,4276.0,TEC,ca,ibanda,publique,ibanda,ibanda,commmerciale et adm
258,4277.0,TEC,ca,ibanda,publique,ibanda,ibanda,commmerciale et adm
611,5026.0,TEC,ca,ibanda,publique,ibanda,ibanda,commmerciale et adm
699,5683.0,TEC,ca,ibanda,publique,ibanda,ibanda,commmerciale et adm
789,6241.0,TEC,ca,ibanda,publique,ibanda,ibanda,commmerciale et adm
999,6662.0,SC,mp,ibanda,publique,ibanda,ibanda,math-physique
1098,7003.0,SC,bc,ibanda,publique,ibanda,ibanda,bio-chimie
1283,7354.0,TEC,ca,ibanda,publique,ibanda,ibanda,commmerciale et adm
1424,7672.0,SC,bc,ibanda,publique,ibanda,ibanda,bio-chimie
1427,7685.0,SC,bc,ibanda,publique,ibanda,ibanda,bio-chimie
1434,7707.0,SC,bc,idanda,publique,idanda,ibanda,bio-chimie
1710,8326.0,Scientifique,biologie-chimie,ibanda,publique,ibanda,ibanda,bio-chimie
2048,8818.0,Technique,commerciale administrative,ibanda,publique,ibanda,ibanda,commmerciale et adm
2471,9292.0,Pédagogique,pédagogie générale,ibanda,publique,ibanda,ibanda,pedagogie
2652,9506.0,Scientifique,mathématique physique,ibanda,publique,ibanda,ibanda,math-physique
2796,9716.0,Technique,commerciale et administrative,ibanda,publique,ibanda,ibanda,commmerciale et adm
2838,9829.0,Scientique,mathématique-physique,ibanda,publique,ibanda,ibanda,math-physique
3188,10201.0,Scientifique,mathématique physique,ibanda,publique,ibanda,ibanda,math-physique
3335,10355.0,Pedagogique,pedagogie générale,institut dibanda,publique,dibanda,ibanda,pedagogie
3338,10358.0,Scientifique,math physique,ibanda,publique,ibanda,ibanda,math-physique
3452,10484.0,Pédagogique,pédagogie générale,vision ibanda,publique,vision ibanda,ibanda,pedagogie
3654,10702.0,Pédagogique,pédagogie générale,ibanda,publique,ibanda,ibanda,pedagogie
3772,10823.0,Pédagogique,pédagogie générale,ibanda,publique,ibanda,ibanda,pedagogie
3843,10895.0,Pédagogique,pédagogie générale,ibanda,publique,ibanda,ibanda,pedagogie
4189,11631.0,SCIENTIFIQUE,bio chimie,atene ibanda,publique,atene ibanda,ibanda,bio-chimie
4339,11791.0,SCIENTIFIQUE,bio chimie,institut d'ibanda,publique,d'ibanda,ibanda,bio-chimie
4341,11793.0,PEDAGOGIE,pedagogie generale,institut ibanda,publique,ibanda,ibanda,pedagogie
4574,12104.0,COMMERCIALE,commerciale et administrative,institut d'ibanda,publique,d'ibanda,ibanda,commmerciale et adm
4686,12225.0,PEDAGOGIE,pedagogie generale,a. ibanda,publique,a. ibanda,ibanda,pedagogie
281,4329.0,SC,mp,frere ilolo,privé,frere ilolo,frere alimba,math-physique
743,6135.0,SC,mp,frere alimba,privé,frere alimba,frere alimba,math-physique
4665,12200.0,SCIENTIFIQUE,bio chimie,collège frère zuza,privé,frère zuza,frere alimba,bio-chimie
268,4307.0,MEC,macanique machines ou,iti gombe,catholique,iti gombe,iti gombe,mecanique machines outils
2231,9038.0,Scientifique,biologie chimie,pierre bouvet,catholique,pierre bouvet,iti gombe,bio-chimie
2693,9549.0,Technique,commerciale et administrative,collège pierre bouvet,catholique,pierre bouvet,iti gombe,commmerciale et adm
2702,9558.0,Technique,vétérinaire,itav ambele,catholique,itav ambele,iti gombe,vétérinaire
3147,10159.0,Technique,veterinaire,eav bigogwe,catholique,eav bigogwe,iti gombe,vétérinaire
3538,10582.0,Technique,electricité générale,iti cholola,catholique,iti cholola,iti gombe,electronique générale
3948,11371.0,TECHNIQUE,mecanique generale,iti goma,catholique,iti goma,iti gombe,mec gene
3954,11378.0,TECHNIQUE,electricite,itp/gombe,publique,itp/gombe,iti gombe,elec
4028,11455.0,TECHNIQUE,electricite,iti goma,catholique,iti goma,iti gombe,elec
4194,11636.0,TECHNIQUE,mecanique generale,iti goma,catholique,iti goma,iti gombe,mec gene
4204,11648.0,TECHNIQUE,electricite,iti goma,catholique,iti goma,iti gombe,elec
4233,11678.0,TECHNIQUE,electricite,iti goma,catholique,iti goma,iti gombe,elec
4234,11679.0,TECHNIQUE,mecanique generale,iti goma,catholique,iti goma,iti gombe,mec gene
1106,7026.0,PED,pg,kitembo,publique,kitembo,butembo,pedagogie
1441,7718.0,LIT,lp,lycee butembo,publique,butembo,butembo,latin philo
1791,8432.0,Pédagogique,pédagogie générale,butembo,publique,butembo,butembo,pedagogie
1834,8487.0,Pédagogique,pédagogie générale,kitembo,publique,kitembo,butembo,pedagogie
2199,9004.0,Technique,sociale,bukombo,publique,bukombo,butembo,sociale
2314,9126.0,Technique,sociale,murembwe,publique,murembwe,butembo,sociale
2457,9275.0,Technique,sociale,murembwe,publique,murembwe,butembo,sociale
2734,9604.0,Technique,commerciale et administrative,butembo,publique,butembo,butembo,commmerciale et adm
2802,9729.0,Technique,commerciale et administrative,butembo,publique,butembo,butembo,commmerciale et adm
3257,10271.0,Pédagogique,pédagogie générale,institut bukambi,publique,bukambi,butembo,pedagogie
3406,10434.0,Pédagogique,pédagogie générale,lycée butembo,publique,butembo,butembo,pedagogie
3816,10867.0,Technique,electronique industrielle,lycée butembo,publique,butembo,butembo,elec indust
3840,10892.0,Scientifique,mathématique physique,butembo,publique,butembo,butembo,math-physique
3868,10931.0,Technique,commerciale administrative,butembo,publique,butembo,butembo,commmerciale et adm
4023,11450.0,COMMERCIALE,commerciale et administrative,lycée butembo,catholique,butembo,butembo,commmerciale et adm
4120,11558.0,SCIENTIFIQUE,mathematique- physique,institut de butembo,publique,de butembo,butembo,math-physique
4176,11618.0,LITTERAIRE,latin philo,institut de butembo,publique,de butembo,butembo,latin philo
4279,11729.0,TECHNIQUE,sociale,institut murembwe,protestant,murembwe,butembo,sociale
4399,11859.0,PEDAGOGIE,pedagogie generale,institut de butembo,publique,de butembo,butembo,pedagogie
4581,12111.0,TECHNIQUE,construction,institut munyembelu,publique,munyembelu,butembo,construction
4633,12166.0,PEDAGOGIE,pedagogie generale,institut de butembo,publique,de butembo,butembo,pedagogie
4634,12167.0,TECHNIQUE,construction,institut munyembelu,publique,munyembelu,butembo,construction
4652,12186.0,TECHNIQUE,agriculture generale,itav/butembo,publique,itav/butembo,butembo,agrecole
4697,12239.0,COMMERCIALE,commerciale administrative,lycée butembo,catholique,butembo,butembo,commmerciale et adm
232,4216.0,TEC,ca,masisi2,protestant,masisi2,masisi,commmerciale et adm
554,4873.0,PED,pg,inst2 masisi,protestant,inst2 masisi,masisi,pedagogie
4182,11624.0,TECHNIQUE,sociale,institut masisi,protestant,masisi,masisi,sociale
4231,11676.0,COMMERCIALEC,commerciale et administrative,institut ii masisi,publique,ii masisi,masisi,commmerciale et adm
4324,11776.0,LITERAIRE,latin philo,institut de masisi,publique,de masisi,masisi,latin philo
31,2277.0,TECHNIQUE,sociale,lycee chemchem,publique,chemchem,chemchem,sociale
127,3779.0,TECHNIQUE,commerciale,lycee chemchem,publique,chemchem,chemchem,commmerciale et adm
137,3817.0,TECHNIQUE,sociale,lycee cherchem,publique,cherchem,chemchem,sociale
178,3963.0,NUTRITION,inconnu,lycee chemchem,publique,chemchem,chemchem,inconnu
332,4411.0,TEC,nutrition,l chemchem,publique,l chemchem,chemchem,nutr
354,4457.0,TEC,sociale,lycee chemchem,publique,chemchem,chemchem,sociale
355,4458.0,TEC,sociale,lycee chechem,publique,chechem,chemchem,sociale
370,4483.0,NUTRITION,nutrition et diet,lycee chemchem,publique,chemchem,chemchem,nutr
423,4603.0,TECH,nutrition,lycee chemchem,publique,chemchem,chemchem,nutr
480,4727.0,TECH,nutrition,lycee checmchem,publique,checmchem,chemchem,nutr
493,4759.0,NUTRI,diet,lycee chemchem,publique,chemchem,chemchem,diet
496,4763.0,TEC,nutri,l chemchem,publique,l chemchem,chemchem,nutr
497,4765.0,TECH,nutrition,chemchem,publique,chemchem,chemchem,nutr
501,4771.0,TEC µ,nutri,chemchem,publique,chemchem,chemchem,nutr
505,4780.0,NUTRITION,diet,lycee chemchem,publique,chemchem,chemchem,diet
510,4790.0,TEC,sociale,chemchem,publique,chemchem,chemchem,sociale
560,4883.0,TEC,coupe couture,chemchem,publique,chemchem,chemchem,COUPE COUTURE
569,4902.0,TEC,sociale,lycee chemchem,publique,chemchem,chemchem,sociale
652,5163.0,TEC,nutrit,l chemchem,publique,l chemchem,chemchem,nutr
680,5651.0,TEC,nutrition,lycee chemchem,publique,chemchem,chemchem,nutr
689,5667.0,TEC,sociale,lycee chemchem,publique,chemchem,chemchem,sociale
726,5748.0,TEC,nutrition,chemchem,publique,chemchem,chemchem,nutr
727,5749.0,TEC,sociale,chemchem,publique,chemchem,chemchem,sociale
757,6165.0,TEC,soc,lycee chemchem,publique,chemchem,chemchem,sociale
772,6209.0,TEC AGR,nutrition,lycee chemchem,publique,chemchem,chemchem,nutr
864,6377.0,TEC,sociale,lycee chemchem,publique,chemchem,chemchem,sociale
865,6378.0,TEC,sociale,chemchem,publique,chemchem,chemchem,sociale
921,6483.0,TEC,sociale,chemchem,publique,chemchem,chemchem,sociale
941,6534.0,TEC AGRICOLE,nutrition,chemchem,publique,chemchem,chemchem,nutr
942,6536.0,TEC AGRICOLE,nutrition,chemchem,publique,chemchem,chemchem,nutr
993,6635.0,TEC,sociale,chemchem,publique,chemchem,chemchem,sociale
996,6642.0,TECH AGRICOLE,nutrition,chemchem,publique,chemchem,chemchem,nutr
1003,6669.0,TEC,sociale,chemchem,publique,chemchem,chemchem,sociale
1045,6761.0,TEC AGR,nutrition,chemchem,publique,chemchem,chemchem,nutr
1046,6762.0,TEC AGRI,nutrition,chemchem,publique,chemchem,chemchem,nutr
1047,6763.0,TEC AG,nutrition,chemchem,publique,chemchem,chemchem,nutr
1074,6932.0,TEC,sociale,chemchem,publique,chemchem,chemchem,sociale
1168,7128.0,TEC,coupe couture,lycee chemchem,publique,chemchem,chemchem,COUPE COUTURE
1300,7380.0,TEC,coupe couture,chemchem,publique,chemchem,chemchem,COUPE COUTURE
1341,7487.0,Technique,coupe couture,chemchem,publique,chemchem,chemchem,Coupe couture
1757,8390.0,Technique,coupe couture,lycée chemchem,publique,chemchem,chemchem,Coupe couture
2039,8789.0,Pédagogique,pédagogie générale,chemchem,publique,chemchem,chemchem,pedagogie
2168,8973.0,Technique,coupe couture,lycée chemchem,publique,chemchem,chemchem,Coupe couture
2744,9615.0,Pédagogique,pédagogie générale,chemchem,publique,chemchem,chemchem,pedagogie
2810,9747.0,Littéraire,latin philo,chemchem,publique,chemchem,chemchem,latin philo
3418,10447.0,Technique,coupe couture,lycée chemchem,publique,chemchem,chemchem,Coupe couture
3489,10526.0,Technique,coupe couture,lycée chemchem,publique,chemchem,chemchem,Coupe couture
3678,10726.0,Technique,coupe couture,lycée chemchem,publique,chemchem,chemchem,Coupe couture
3829,10880.0,Technique,coupe couture,lycée chemchem,publique,chemchem,chemchem,Coupe couture
4679,12218.0,LITTERAIRE,latin philo,lycée chem chem,publique,chem chem,chemchem,latin philo
1205,7202.0,Technique,commerciale et administrative,ndosho,publique,ndosho,ndosho,commmerciale et adm
1350,7512.0,Pédagogique,pédagogie générale,ntoyo,publique,ntoyo,ndosho,pedagogie
1557,8133.0,TECHNIQUE,commerciale administrative,cs ndosho,publique,ndosho,ndosho,commmerciale et adm
1601,8187.0,Technique,commerciale administrative,cs ndosho,publique,ndosho,ndosho,commmerciale et adm
2187,8992.0,Pédagogique,pédagogie générale,mushosho,publique,mushosho,ndosho,pedagogie
2370,9185.0,Technique,sociale,cs ndosho,publique,ndosho,ndosho,sociale
2427,9244.0,Technique,sociale,cs ndosho,publique,ndosho,ndosho,sociale
2441,9258.0,Technique,sociale,cs ndosho,publique,ndosho,ndosho,sociale
2449,9266.0,Technique,sociale,ndosho,publique,ndosho,ndosho,sociale
2533,9361.0,Technique,sociale,cs ndosho,publique,ndosho,ndosho,sociale
2678,9533.0,Pédagogique,pédagogie générale,ndosho,publique,ndosho,ndosho,pedagogie
2781,9677.0,Pédagogique,pédagogie générale,ndoasho,publique,ndoasho,ndosho,pedagogie
3094,10103.0,Scientifique,biologie chimie,cs ndosho,publique,ndosho,ndosho,bio-chimie
3208,10221.0,Scientifique,biologie chimie,cs ndosho,publique,ndosho,ndosho,bio-chimie
3374,10399.0,Pédagogique,pédagogie générale,ndosho,publique,ndosho,ndosho,pedagogie
3384,10411.0,Pédagogique,pédagogie générale,ndosho,publique,ndosho,ndosho,pedagogie
3509,10549.0,Scientifique,biologie-chimie,ndosho,publique,ndosho,ndosho,bio-chimie
3638,10686.0,Pédagogique,pédagogie générale,cs ndosho,publique,ndosho,ndosho,pedagogie
3675,10723.0,Technique,sociale,cs ndosho,publique,ndosho,ndosho,sociale
3739,10788.0,Pédagogique,pédagogie générale,c.s. ndosho,publique,c.s. ndosho,ndosho,pedagogie
3836,10887.0,Pédagogique,pédagogie générale,cs ndosho,publique,ndosho,ndosho,pedagogie
3891,11310.0,PEDAGOGIE,pedagogie generale,institut ndosho,publique,ndosho,ndosho,pedagogie
4326,11778.0,TECHNIQUE,sociale,institut mushosho,privé,mushosho,ndosho,sociale
4452,11969.0,TECHNIQUE,sociale,cs ndosho,privé,ndosho,ndosho,sociale
448,4653.0,Technique,sociale,matolu,protestant,matolu,matolu,sociale
3853,10907.0,Pédagogique,pédagogie générale,matolu,protestant,matolu,matolu,pedagogie
101,3660.0,LIT,lp,himbi,protestant,himbi,himbi,latin philo
117,3734.0,TECHNIQUE,comm et adm,inst himbi,protestant,himbi,himbi,commmerciale et adm
187,4038.0,LITT,latin philo,i himbi,protestant,himbi,himbi,latin philo
246,4254.0,TEC,ca,himbi,protestant,himbi,himbi,commmerciale et adm
334,4416.0,TECH,ca,himbi,protestant,himbi,himbi,commmerciale et adm
356,4460.0,TEC,ca,himbi,protestant,himbi,himbi,commmerciale et adm
468,4698.0,PED,pg,ihimbi,protestant,ihimbi,himbi,pedagogie
589,4956.0,LIT,lp,himbi,protestant,himbi,himbi,latin philo
605,5012.0,LIT,lp,himbi,protestant,himbi,himbi,latin philo
636,5100.0,PED,pg,ihimbi,protestant,ihimbi,himbi,pedagogie
684,5656.0,TECH,ca,himbi,protestant,himbi,himbi,commmerciale et adm
720,5739.0,TEC,ca,himbi,protestant,himbi,himbi,commmerciale et adm
851,6358.0,LIT,lp,himbi,protestant,himbi,himbi,latin philo
852,6360.0,LIT,lp,himbi,protestant,himbi,himbi,latin philo
882,6414.0,TEC,ca,himbi,protestant,himbi,himbi,commmerciale et adm
940,6533.0,LIT,lp,himbi,protestant,himbi,himbi,latin philo
982,6614.0,LIT,lp,himbi,protestant,himbi,himbi,latin philo
1018,6708.0,PED,pg,himbi,protestant,himbi,himbi,pedagogie
1066,6904.0,LIT,lp,himbi,protestant,himbi,himbi,latin philo
1143,7085.0,TEC,ca,himbi,protestant,himbi,himbi,commmerciale et adm
1172,7138.0,TEC,ca,himbi,protestant,himbi,himbi,commmerciale et adm
1175,7144.0,TEC,ca,institut  himbi,protestant,himbi,himbi,commmerciale et adm
1366,7547.0,TEC,ca,himbi,protestant,himbi,himbi,commmerciale et adm
1476,7780.0,LITTERAIRE,latin philo,institut himbi,protestant,himbi,himbi,latin philo
1483,7794.0,Littéraire,latin philo,himbi,protestant,himbi,himbi,latin philo
1637,8232.0,Pédagogique,pédagogie générale,himbi,protestant,himbi,himbi,pedagogie
1665,8266.0,Littéraire,latin philo,himbi,protestant,himbi,himbi,latin philo
1691,8299.0,LITERRAIRE,latin philo,himbi,protestant,himbi,himbi,latin philo
1885,8565.0,Littéraire,latin philo,himbi,protestant,himbi,himbi,latin philo
1981,8691.0,Littéraire,latin philo,himbi,protestant,himbi,himbi,latin philo
2027,8755.0,Litteraire,latin philo,himbi,protestant,himbi,himbi,latin philo
2162,8967.0,Technique,commerciale et administrative,himbi,protestant,himbi,himbi,commmerciale et adm
2190,8995.0,Technique,commerciale et administrative,himbi,protestant,himbi,himbi,commmerciale et adm
2255,9064.0,Technique,commerciale administrative,himbi,protestant,himbi,himbi,commmerciale et adm
2267,9077.0,Pédagogique,pédagogie générale,himbi,protestant,himbi,himbi,pedagogie
2277,9087.0,Technique,commerciale et administrative,himbi,protestant,himbi,himbi,commmerciale et adm
2280,9090.0,Technique,commerciale et administrative,himbi,protestant,himbi,himbi,commmerciale et adm
2315,9127.0,Technique,commerciale et administrative,himbi,protestant,himbi,himbi,commmerciale et adm
2342,9155.0,Pédagogique,pédagogie générale,himbi,protestant,himbi,himbi,pedagogie
2349,9162.0,Littéraire,latin philo,himbi,protestant,himbi,himbi,latin philo
2418,9235.0,Pédagogique,pédagogie générale,himbi,protestant,himbi,himbi,pedagogie
2425,9242.0,Pédagogique,pédagogie générale,himbi,protestant,himbi,himbi,pedagogie
2429,9246.0,Pédagogique,pédagogie générale,himbi,protestant,himbi,himbi,pedagogie
2467,9287.0,Technique,commerciale et administrative,himbi,protestant,himbi,himbi,commmerciale et adm
2504,9332.0,Pédagogique,pédagogie générale,himbi,protestant,himbi,himbi,pedagogie
2551,9385.0,Littéraire,latin philo,himbi,protestant,himbi,himbi,latin philo
2626,9477.0,Littéraire,latin philo,himbi,protestant,himbi,himbi,latin philo
2698,9554.0,Technique,commerciale et administrative,himbi,protestant,himbi,himbi,commmerciale et adm
2730,9599.0,Littéraire,latin philo,himbi,protestant,himbi,himbi,latin philo
2751,9628.0,Technique,commerciale administrative,himbi,protestant,himbi,himbi,commmerciale et adm
2763,9648.0,Technique,commerciale administrative,himbi,protestant,himbi,himbi,commmerciale et adm
2786,9684.0,Pédagogique,pédagogie générale,himbi,protestant,himbi,himbi,pedagogie
2928,9921.0,Technique,commerciale et administrative,himbi,protestant,himbi,himbi,commmerciale et adm
2935,9930.0,Pédagogique,pédagogie générale,himbi,protestant,himbi,himbi,pedagogie
3085,10093.0,Littéraire,latin philosophie,himbi,protestant,himbi,himbi,latin philo
3136,10148.0,Pédagogique,pédagogie générale,himbi,protestant,himbi,himbi,pedagogie
3226,10239.0,Technique,commerciale et administrative,institut himbi,protestant,himbi,himbi,commmerciale et adm
3255,10269.0,Technique,commerciale et administrative,institut himbi,protestant,himbi,himbi,commmerciale et adm
3302,10319.0,Litteraire,latin philosophie,institut himbi,protestant,himbi,himbi,latin philo
3325,10344.0,Technique,commerciale et administrative,institut himbi,protestant,himbi,himbi,commmerciale et adm
3492,10531.0,Technique,commerciale et administrative,himbi,protestant,himbi,himbi,commmerciale et adm
3536,10580.0,Littéraire,latin philisophie,himbi,protestant,himbi,himbi,latin philo
3578,10624.0,Technique,commerciale et administrative,himbi,protestant,himbi,himbi,commmerciale et adm
3632,10680.0,Pédagogique,pédagogie générale,himbi,protestant,himbi,himbi,pedagogie
3780,10831.0,Pédagogie,pédagogie générale,ihimbi,protestant,ihimbi,himbi,pedagogie
3807,10858.0,Littéraire,latin-philosophie,himbi,protestant,himbi,himbi,latin philo
3873,11134.0,Technique,commerciale et administrative,himbi,protestant,himbi,himbi,commmerciale et adm
3967,11392.0,COMMERCIALE,commerciale et administrative,institut himbi,protestant,himbi,himbi,commmerciale et adm
