,IDENTIFICATION,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS
1507,7850,Littéraire,Latin philo,MWANGI,inconnu
1508,7851,LIT,LP,MWANDU,inconnu
1509,7853,Littéraire,Latin Philo,Mwanga,inconnu
1510,7857,Littéraire,Latin Philo,Maendeleo,inconnu
1511,7859,LIT,LP,MAENDELEO,inconnu
1512,7860,Technique,Sociale,Lycée Sainte Ursule,inconnu
1513,7863,Pédagogique,Pédagogie Générale,BIGILIMANI,inconnu
1514,7865,Scientifique,Mathématique physique,Ndoluma,inconnu
1515,7866,Littéraire,Latin Philo,Kuntwala,inconnu
1516,7871,Pédagogique,Pédagogie Générale,Institutu communautaire du lac,inconnu
1517,7873,TEC,CA,LYCEE NYAKASAZA,inconnu
1518,7880,TEC,AGRICOLE,ST MICHEL,inconnu
1519,7882,Pédagogie,Pédagogie Générale,Autodidacte,inconnu
1520,7889,SC,BC,GS DE LA SALLE,inconnu
1521,7890,Technique,Commerciale Administrative,Rutoboko,inconnu
1522,7895,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT VISOKE,inconnu
1523,7897,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT FARADJA,inconnu
1524,7898,TEC,SOCIALE,NIDUNGA,inconnu
1525,7904,PED,PG,NDATA,inconnu
1526,7910,PED,PG,DE BUKAVU,inconnu
1527,7915,LIT,LP,KAMBALI,inconnu
1528,7965,PED,PG,TUUNGANE,inconnu
1529,8094,SCIENTIFIQUE,MATH-PHYSIQUE,COLLEGE TETEMBWA,inconnu
1530,8095,PEDAGOGIE,PEDAGOGIE GENERALE,MSAWATO,inconnu
1531,8096,SCIENTIFIQUE,MATH-PHYSIQUE,MAJENGO,inconnu
1532,8097,TECHNIQUE,Commerciale Administrative,Mama Yetu,inconnu
1533,8099,PEDAGOGIE,PEDAGOGIE GENERALE,Bagira,inconnu
1534,8100,TECHNIQUE,Commerciale Administrative,Mwanga,inconnu
1535,8101,SCIENTIFIQUE,BIO-CHIMIE,Mwanga,inconnu
1536,8102,PEDAGOGIE,PEDAGOGIE GENERALE,GS LA PROMISE,inconnu
1537,8104,SCIENTIFIQUE,MATH-PHYSIQUE,MAJENGO,inconnu
1538,8105,PEDAGOGIE,PEDAGOGIE GENERALE,FARAJA,inconnu
1539,8106,TECHNIQUE,Commerciale Administrative,FARAJA,inconnu
1540,8109,TECHNIQUE,Commerciale Administrative,FARAJA,inconnu
1541,8113,TECHNIQUE,Commerciale Administrative,Mwanga,inconnu
1542,8114,TECHNIQUE,Commerciale Administrative,Annuarite,inconnu
1543,8115,TECHNIQUE,Commerciale Administrative,Zanner,inconnu
1544,8116,PEDAGOGIE,PEDAGOGIE GENERALE,GS MONT SINAI,inconnu
1545,8118,TECHNIQUE,Commerciale Administrative,Metanoia,inconnu
1546,8119,PEDAGOGIE,PEDAGOGIE GENERALE,KASUKU,inconnu
1547,8120,TECHNIQUE,VETERINAIRE,ITVE,inconnu
1548,8122,PEDAGOGIE,PEDAGOGIE GENERALE,Bigilimani,inconnu
1549,8123,PEDAGOGIE,PEDAGOGIE GENERALE,GS LA PROMISE,inconnu
1550,8124,TECHNIQUE,Commerciale Administrative,Majengo,inconnu
1551,8125,PEDAGOGIE,PEDAGOGIE GENERALE,AUTODIDACTE,inconnu
1552,8127,TECHNIQUE,Commerciale Administrative,CS MAMA YETU,inconnu
1553,8128,TECHNIQUE,Commerciale Administrative,Mwanga/Uvira,inconnu
1554,8129,SCIENTIFIQUE,MATH-PHYSIQUE,Majengo,inconnu
1555,8130,PEDAGOGIE,PEDAGOGIE GENERALE,Isidore Bakanja,inconnu
1556,8131,TECHNIQUE,C,Majengo,inconnu
1557,8133,TECHNIQUE,Commerciale Administrative,CS NDOSHO,inconnu
1558,8134,SCIENTIFIQUE,BIO-CHIMIE,NEEMA,inconnu
1559,8135,SCIENTIFIQUE,BIO-CHIMIE,WEZA,inconnu
1560,8136,TECHNIQUE,Commerciale Administrative,FARAJA,inconnu
1561,8138,TECHNIQUE,Commerciale Administrative,ICL,inconnu
1562,8139,TECHNIQUE,Commerciale Administrative,VIRUNGA QUARTIER,inconnu
1563,8141,TECHNIQUE,SOCIALE,CS LAPEREAUX,inconnu
1564,8142,TECHNIQUE,SOCIALE,AUTODIDACTE,inconnu
1565,8143,TECHNIQUE,Commerciale Administrative,Majengo,inconnu
1566,8145,TECHNIQUE,SOCIALE,Maendeleo,inconnu
1567,8146,TECHNIQUE,SOCIALE,Maendeleo,inconnu
1568,8147,PEDAGOGIE,PEDAGOGIE GENERALE,BAGIRA,inconnu
1569,8148,TECHNIQUE,Commerciale Administrative,Isidore Bakanja,inconnu
1570,8149,TECHNIQUE,NUTRITION,STE URSULE,inconnu
1571,8150,TECHNIQUE,Commerciale Informatique,UZIMA,inconnu
1572,8151,TECHNIQUE,Commerciale informatique,Uzima,inconnu
1573,8152,TECHNIQUE,SOCIALE,SAINTE URSULE,inconnu
1574,8153,TECHNIQUE,Commerciale Administrative,Mwanga,inconnu
1575,8154,TECHNIQUE,Commerciale Administrative,SAINT JOSEPH,inconnu
1576,8155,TECHNIQUE,Commerciale Administrative,Mwanga,inconnu
1577,8156,TECHNIQUE,Commerciale informatique,Mwanga,inconnu
1578,8157,TECHNIQUE,Commerciale Administrative,Mwanga,inconnu
1579,8158,TECHNIQUE,SOCIALE,SAINTE URSULE,inconnu
1580,8159,TECHNIQUE,Commerciale Informatique,UZIMA,inconnu
1581,8160,PEDAGOGIE,PEDAGOGIE GENERALE,KIHINGA,inconnu
1582,8161,LITTERAIRE,LATIN PHILO,Bungulu,inconnu
1583,8162,Scientifique,Mathématique Physique,Kabila,inconnu
1584,8163,SCIENTIFIQUE,BIO-CHIMIE,BUSANGANYA,inconnu
1585,8164,TECHNIQUE,SOCIALE,STE URSULE,inconnu
1586,8165,TECHNIQUE,Commerciale Administrative,MIKENO NC,inconnu
1587,8166,LITERRAIRE,LATIN PHILO,BUKAVU,inconnu
1588,8167,TECHNIQUE,Commerciale Administrative,Metanoia,inconnu
1589,8168,LITERRAIRE,LATIN PHILO,Mwanga,inconnu
1590,8170,TECHNIQUE,Commerciale Administrative,Mwanga,inconnu
1591,8172,SCIENTIFIQUE,BIO-CHIMIE,ALFAJIRI,inconnu
1592,8173,LITTERAIRE,LATIN PHILO,Mwanga,inconnu
1593,8174,TECHNIQUE,SOCIALE,MIKENO NC,inconnu
1594,8176,Technique,Sociale,Hekima,inconnu
1595,8177,Technique,Sociale,Uzima,inconnu
1596,8178,Technique,Commerciale Informatique,Uzima,inconnu
1597,8179,PEDAGOGIE,PEDAGOGIE GENERALE,MARANATHA,inconnu
1598,8180,PEDAGOGIE,PEDAGOGIE GENERALE,ELIMU,inconnu
1599,8182,PEDAGOGIE,PEDAGOGIE GENERALE,KABAMBA,inconnu
1600,8186,TECHNIQUE,SOCIALE,MIKENO NC,inconnu
1601,8187,Technique,Commerciale Administrative,CS Ndosho,inconnu
1602,8188,TECHNIQUE,Commerciale Administrative,AVENIR,inconnu
1603,8189,PEDAGOGIE,PEDAGOGIE GENERALE,KIMUA,inconnu
1604,8190,LITTERAIRE,LATIN PHILO,Lycée Mwandu,inconnu
1605,8192,PEDAGOGIE,PEDAGOGIE GENERALE,AZUHURI,inconnu
1606,8193,PEDAGOGIE,PEDAGOGIE GENERALE,BORA,inconnu
1607,8194,TECHNIQUE,Commerciale Administrative,Maendeleo,inconnu
1608,8195,Scientifique,Math-Physique,Alfajiri,inconnu
1609,8196,Pédagogique,Pédagogie Générale,Bwindi,inconnu
1610,8197,Technique,Commerciale informatique,Uzima,inconnu
1611,8198,Technique,Commerciale administrative,Metanoia,inconnu
1612,8199,Technique,Sociale,Sayuni,inconnu
1613,8202,Scientifique,Math-Physique,Burhiba,inconnu
1614,8203,TECHNIQUE,SOCIALE,MONT CARMEL,inconnu
1615,8204,Technique,Sociale,Mikeno NC,inconnu
1616,8205,TECHNIQUE,Commerciale Informatique,UZIMA,inconnu
1617,8206,TECHNIQUE,SOCIALE,SAINTE URSULE,inconnu
1618,8207,Scientifique,Biologie-Chimie,Mwanga,inconnu
1619,8209,Technique,Commerciale administrative,Metanoia,inconnu
1620,8210,Technique,Sociale,STE URSULE,inconnu
1621,8211,Technique,Sociale,Mikeno Islamique,inconnu
1622,8212,SCIENTIFIQUE,BIO-CHIMIE,Metanoia,inconnu
1623,8213,LITERRAIRE,LATIN PHILO,MONT GOMA,inconnu
1624,8215,Technique,Commerciale administrative,Metanoia,inconnu
1625,8216,TECHNIQUE,SOCIALE,Maendeleo,inconnu
1626,8217,PEDAGOGIE,PEDAGOGIE GENERALE,Maendeleo,inconnu
1627,8218,MECANIQUE,MACHINES OUTILS,ITFM MAENDELEO,inconnu
1628,8219,TECHNIQUE,Commerciale Administrative,FARAJA,inconnu
1629,8221,SCIENTIFIQUE,BIO-CHIMIE,Metanoia,inconnu
1630,8222,Scientifique,Biologie-Chimie,Mwanga,inconnu
1631,8225,PEDAGOGIE,PEDAGOGIE GENERALE,HEKIMA,inconnu
1632,8227,LITERRAIRE,LATIN PHILO,Metanoia,inconnu
1633,8228,SCIENTIFIQUE,BIO-CHIMIE,AMANI,inconnu
1634,8229,TECHNIQUE,Commerciale Administrative,MAJENGO,inconnu
1635,8230,TECHNIQUE,SOCIALE,SAINTE URSULE,inconnu
1636,8231,Pédagogique,Pédagogie Générale,Des Bukavu,inconnu
1637,8232,Pédagogique,Pédagogie Générale,Himbi,inconnu
1638,8233,PEDAGOGIE,PEDAGOGIE GENERALE,BIHIRA,inconnu
1639,8235,TECHNIQUE,Commerciale Administrative,MUZIZI,inconnu
1640,8236,LITERRAIRE,LATIN PHILO,SAINT JOSEPH,inconnu
1641,8237,LITERRAIRE,LATIN PHILO,LYCEE WIMA,inconnu
1642,8238,Scientifique,Biologie-Chimie,Tupendane,inconnu
1643,8239,TECHNIQUE,SOCIALE,LWANGA,inconnu
1644,8240,TECHNIQUE,Commerciale Administrative,Majengo,inconnu
1645,8241,SCIENTIFIQUE,BIO-CHIMIE,NURU,inconnu
1646,8243,TECHNIQUE,Commerciale Administrative,MIKENO NC,inconnu
1647,8244,Techhnique,Sociale,Mikeno NC,inconnu
1648,8245,TECHNIQUE,Commerciale Administrative,Majengo,inconnu
1649,8246,PEDAGOGIE,PEDAGOGIE GENERALE,BWANGA,inconnu
1650,8247,LITERRAIRE,LATIN PHILO,Zanner,inconnu
1651,8248,TECHNIQUE,Commerciale Administrative,Metanoia,inconnu
1652,8249,Pédagogique,Pédagogie Générale,Mikeno NK,inconnu
1653,8250,TECHNIQUE,Commerciale Administrative,Mama Yetu,inconnu
1654,8252,PEDAGOGIE,PEDAGOGIE GENERALE,LYCEE KATANA,inconnu
1655,8253,TECHNIQUE,SOCIALE,SAINTE URSULE,inconnu
1656,8254,TECHNIQUE,SOCIALE,SAINTE URSULE,inconnu
1657,8255,SCIENTIFIQUE,MATH-PHYSIQUE,Mwanga,inconnu
1658,8257,Littéraire,Latin Philo,Musienene,inconnu
1659,8258,TECHNIQUE INDUST,MECANIQUE GENERALE,MABOSO,inconnu
1660,8259,TECHNIQUE,Commerciale Administrative,MIKENO NC,inconnu
1661,8262,SCIENTIFIQUE,BIO-CHIMIE,THABITI,inconnu
1662,8263,Technique,Sociale,Mont Carmel,inconnu
1663,8264,PEDAGOGIE,PEDAGOGIE GENERALE,MONT GOMA,inconnu
1664,8265,SCIENTIFIQUE,BIO-CHIMIE,MONT GOMA,inconnu
1665,8266,Littéraire,Latin Philo,Himbi,inconnu
1666,8270,Technique,Machine outils,ITFM,inconnu
1667,8271,Technique,Sociale,STE URSULE,inconnu
1668,8272,Pédagogique,Pédagogie Générale,Moria,inconnu
1669,8273,Technique,Commerciale administrative,Maranatha,inconnu
1670,8274,Technique,Commerciale administrative,Maedeleo,inconnu
1671,8275,Littéraire,Latin Philo,Metanoia,inconnu
1672,8276,TECHNIQUE,SOCIALE,MONT CARMEL,inconnu
1673,8277,SCIENTIFIQUE,BIO-CHIMIE,LYCEE AMANI,inconnu
1674,8278,LITERRAIRE,LATIN PHILO,Maendeleo,inconnu
1675,8279,Technique,Commerciale administrative,Isidore bakanja,inconnu
1676,8280,PEDAGOGIE,PEDAGOGIE GENERALE,KIRIBUNYE,inconnu
1677,8281,TECHNIQUE,Commerciale Administrative,Zanner,inconnu
1678,8282,Scientifique,Biologie-Chimie,CS Lafontaine,inconnu
1679,8283,TECHNIQUE,Commerciale Administrative,BDAP/ISP,inconnu
1680,8284,LITERRAIRE,LATIN PHILO,BIHIRA,inconnu
1681,8286,PEDAGOGIE,PEDAGOGIE GENERALE,KAKUNGWE,inconnu
1682,8287,Scientifique,Biologie-Chimie,Lycee Amani,inconnu
1683,8288,TECHNIQUE,Commerciale Administrative,MORIA,inconnu
1684,8289,SCIENTIFIQUE,MATH-PHYSIQUE,IMANI,inconnu
1685,8290,Technique,Sociale,Uenezaji,inconnu
1686,8291,TECHNIQUE,SOCIALE,LWANGA,inconnu
1687,8293,Technique,Sociale,Ndahura,inconnu
1688,8294,SCIENTIFIQUE,BIO-CHIMIE,WEZA,inconnu
1689,8295,Technique,Sociale,Maedeleo,inconnu
1690,8298,Pédagogique,Pédagogie Générale,Anuarite,inconnu
1691,8299,LITERRAIRE,LATIN PHILO,HIMBI,inconnu
1692,8300,SCIENTIFIQUE,BIO-CHIMIE,Mwanga,inconnu
1693,8302,Technique,Commerciale administrative,Metanoia,inconnu
1694,8306,Scientifique,Biologie-Chimie,CS Mama Yetu,inconnu
1695,8307,Technique,Commerciale administrative,Mikeno Islamique,inconnu
1696,8309,Technique,Commerciale Administrative,Lycée Anuarite,inconnu
1697,8310,Pédagogique,Pédagogie Générale,Kimbilio,inconnu
1698,8311,Technique,Commerciale administrative,CS Lumière,inconnu
1699,8312,Pédagogique,Pédagogie Générale,CS Matendo,inconnu
1700,8313,Pédagogique,Pédagogie Générale,Katwa,inconnu
1701,8314,Scientifique,Biologie-Chimie,Isidore bakanja,inconnu
1702,8315,Technique,Commerciale Administrative,Majengo,inconnu
1703,8317,Scientifique,Biologie-Chimie,Tupendane,inconnu
1704,8318,Technique,Sociale,Mont Carmel,inconnu
1705,8319,Pédagogique,Pédagogie Générale,Kitsombiro,inconnu
1706,8320,Technique,Commerciale administrative,Maranatha,inconnu
1707,8321,Littéraire,Latin Philo,Metanoia,inconnu
1708,8324,Technique,Sociale,Nyabushongo,inconnu
1709,8325,Technique,Electricité Industrielle,ITFM,inconnu
1710,8326,Scientifique,Biologie-Chimie,Ibanda,inconnu
1711,8327,Technique,Commerciele Administrative,Mikeno officiel,inconnu
1712,8329,Technique,Sociale,Uzima,inconnu
1713,8330,Technique,Sociale,Uzima,inconnu
1714,8331,Pédagogique,Pédagogie Générale,Lumière du progrès,inconnu
1715,8333,Scientifique,Biologie-Chimie,Lycée Amani,inconnu
1716,8335,technique,Sociale,Maendeleo,inconnu
1717,8337,Littéraire,Latin Philo,Metanoia,inconnu
1718,8338,Scientifique,Math-Physique,Faraja,inconnu
1719,8339,Pédagogique,Pédagogie Générale,Sake,inconnu
1720,8340,Scientifique,Math-Physique,Vungi,inconnu
1721,8341,Technique,Construction,Kyeshero,inconnu
1722,8342,Technique,Electricité Industrielle,Autodidacte,inconnu
1723,8343,Pédagogique,Pédagogie Générale,Amkeni,inconnu
1724,8345,Littéraire,Latin Philo,Zanner,inconnu
1725,8346,Technique,Secrétariat,ITFM,inconnu
1726,8347,Technique,Commerciale administrative,Tuungane,inconnu
1727,8348,Technique,Commerciale administrative,Isidore bakanja,inconnu
1728,8349,Technique,Commerciale administrative,Pain de vie,inconnu
1729,8350,Pédagogique,Pédagogie Générale,Pain de vie,inconnu
1730,8352,Pédagogique,Pédagogie Générale,Lycée Anuarite,inconnu
1731,8353,Pédagogique,Pédagogie Générale,Mont Carmel,inconnu
1732,8354,Technique,Commerciale administrative,Metanoia,inconnu
1733,8355,Scientifique,Biologie-Chimie,Lycée Amani,inconnu
1734,8357,Technique,Mécanique,Kyeshero,inconnu
1735,8360,Technique,Construction,Kyeshero,inconnu
1736,8361,Technique,Commerciale administrative,Metanoia,inconnu
1737,8363,Technique,Sociale,Ste  Ursule,inconnu
1738,8364,Pédagogique,Pédagogie Générale,Mont Sinai,inconnu
1739,8365,Tecniquz,Commerciale Administrative,Jikaze,inconnu
1740,8366,Technique,Sociale,Mikeno NC,inconnu
1741,8368,Technique,Commerciale administrative,Mikeno Islamique,inconnu
1742,8371,Technique,Commerciale administrative,Lycée Anuarite,inconnu
1743,8372,Scientifique,Biologie-Chimie,Maranatha,inconnu
1744,8373,Scientifique,Math-Physique,St Paul,inconnu
1745,8374,Technique,Sociale,Mont Carmel,inconnu
1746,8375,Technique,Commerciale administrative,Maranatha,inconnu
1747,8376,Littéraire,Latin Philo,27 octobre,inconnu
1748,8377,Scientifique,Math-Physique,54,inconnu
1749,8378,Pédagogique,Pédagogie Générale,Ruharaga,inconnu
1750,8379,Technique,Commerciale administrative,Zanner,inconnu
1751,8381,Scientifique,Math-Physique,EDAP/ISP BKV,inconnu
1752,8382,Technique,Vétérinaire,ITV/walukngu,inconnu
1753,8386,Technique,Sociale,Ndahura,inconnu
1754,8387,Technique,Commerciale administrative,Isidore bakanja,inconnu
1755,8388,Technique,Nutrition,Ste Ursule,inconnu
1756,8389,Pédagogique,Pédagogie Générale,Mont Carmel,inconnu
1757,8390,Technique,Coupe couture,Lycée Chemchem,inconnu
1758,8391,Technique,Commerciale administrative,Isidore bakanja,inconnu
1759,8393,Littéraire,Latin Philo,Mont Goma,inconnu
1760,8394,Technique,Commerciale administrative,action kusaidia,inconnu
1761,8395,Technique,Commerciale administrative,Mwanga,inconnu
1762,8397,SCIENTIFIQUE,MATH-PHYSIQUE,COLLEGE SAINT PAUL,inconnu
1763,8398,SCIENTIFIQUE,MATH-PHYSIQUE,IDAMBO,inconnu
1764,8399,TECHNIQUE,Commerciale Administrative,Mwanga,inconnu
1765,8401,SCIENTIFIQUE,BIO-CHIMIE,MAJENGO,inconnu
1766,8402,Technique,Commerciale Administrative,AVENIR,inconnu
1767,8403,Technique,Sociale,Mont Sinai,inconnu
1768,8404,TECHNIQUE,Commerciale Administrative,MGR GUIDO M.C,inconnu
1769,8405,PEDAGOGIE,Pédagogie Générale,AUTODIDACTE,inconnu
1770,8406,Technique,Sociale,Ste Ursule,inconnu
1771,8407,PEDAGOGIE,PEDAGOGIE GENERALE,BWANGA,inconnu
1772,8408,Littéraire,Latin Philo,Metanoia,inconnu
1773,8409,Littéraire,Latin Philo,Metanoia,inconnu
1774,8411,TECHNIQUE,Commerciale Administrative,Instigo,inconnu
1775,8413,Technique,Commerciale administrative,Bungulu,inconnu
1776,8414,PEDAGOGIE,PEDAGOGIE GENERALE,C.S LE VERT,inconnu
1777,8415,Pédagogique,Pédagogie Générale,Visoke,inconnu
1778,8416,PEDAGOGIE,PEDAGOGIE GENERALE,ITCB,inconnu
1779,8417,Technique,Commerciale Administrative,ICL,inconnu
1780,8419,Technique,Nutrition,Saint Michel,inconnu
1781,8420,TECHNIQUE,SOCIALE,SAINTE URSULE,inconnu
1782,8421,PEDAGOGIE,PEDAGOGIE GENERALE,Isidore Bakanja,inconnu
1783,8422,SCIENTIFIQUE,BIO-CHIMIE,FAZILI,inconnu
1784,8423,TECHNIQUE,Commerciale Administrative,Mama Yetu,inconnu
1785,8425,SCIENTIFIQUE,BIO-CHIMIE,Metanoia,inconnu
1786,8426,Technique,Commerciale Administrative,Bungulu,inconnu
1787,8427,Technique,Commerciale administrative,Metanoia,inconnu
1788,8429,Technique,Commerciale administrative,Faraja,inconnu
1789,8430,TECHNIQUE,SOCIALE,Maendeleo,inconnu
1790,8431,LITERRAIRE,LATIN PHILO,Zanner,inconnu
1791,8432,Pédagogique,Pédagogie Générale,Butembo,inconnu
1792,8433,TECHNIQUE,Commerciale Administrative,Majengo,inconnu
1793,8434,TECHNIQUE,SOCIALE,C.S. TUUNGANE,inconnu
1794,8436,Pédagogique,Pédagogie Générale,Moria,inconnu
1795,8438,Technique,Sociale,Mont Carmel,inconnu
1796,8439,Pédagogique,Pédagogie Générale,Lwanga,inconnu
1797,8441,PEDAGOGIE,PEDAGOGIE GENERALE,8 MARS,inconnu
1798,8442,TECHNIQUE,Commerciale Administrative,Mwanga,inconnu
1799,8443,PEDAGOGIE,PEDAGOGIE GENERALE,TUENDELEE,inconnu
1800,8446,Technique,Commerciale administrative,Pain de vie,inconnu
1801,8447,Scientifique,Biologie-Chimie,Mwanga,inconnu
1802,8448,Scientifique,Math-Physique,Alfajiri,inconnu
1803,8449,Pédagogique,Pédagogie Générale,Buturande,inconnu
1804,8450,Littéraire,Latin Philo,Metanoia,inconnu
1805,8452,Scientifique,Biologie-Chimie,Mwanga,inconnu
1806,8453,Technique,Nutrition,Ste Ursule,inconnu
1807,8454,Littéraire,Latin Philo,Kashenda,inconnu
1808,8456,Technique,Commerciale Administrative,Rutoboko,inconnu
1809,8457,Scientifique,Math-Physique,Ndahura,inconnu
1810,8459,Technique,Sociale,Ndahura,inconnu
1811,8460,Technique,Electricité Industrielle,ITIG,inconnu
1812,8461,Pédagogique,Pédagogie Générale,Kashenyi 2,inconnu
1813,8462,Technique,Sociale,Maedeleo,inconnu
1814,8463,Scientifique,Biologie-Chimie,Ste Famille,inconnu
1815,8464,Scientifique,Biologie Chimie,Autodidacte,inconnu
1816,8467,Technique,Sociale,Uzima,inconnu
1817,8468,SCIENTIFIQUE,BIO-CHIMIE,Mwanga,inconnu
1818,8470,Technique,Commerciale administrative,Isidore Bakanja,inconnu
1819,8471,Littéraire,Latin Philo,Maedeleo,inconnu
1820,8472,Technique,Sociale,Mont Carmel,inconnu
1821,8473,Technique,Sociale,Kalundu,inconnu
1822,8474,Scientifique,Biologie-Chimie,Mwanga,inconnu
1823,8475,Pédagogique,Pédagogie Générale,Ufahamu,inconnu
1824,8476,Pédagogie,Pédagogie Générale,CS Kiribunye,inconnu
1825,8477,Scientifique,Biologie-Chimie,61,inconnu
1826,8478,Scientifique,Biologie-Chimie,Lycée Amani,inconnu
1827,8479,Scientifique,Biologie-Chimie,Lycée Amani,inconnu
1828,8480,Pédagogique,Pédagogie Générale,Weza,inconnu
1829,8481,Scientifique,Biologie-Chimie,Mwanga,inconnu
1830,8483,Technique,Sociale,Uzima,inconnu
1831,8484,Technique,Commerciale administrative,Maedeleo,inconnu
1832,8485,Scientifique,Biologie-Chimie,Faraja,inconnu
1833,8486,Pédagogique,Pédagogie Générale,CS Karhale,inconnu
1834,8487,Pédagogique,Pédagogie Générale,Kitembo,inconnu
1835,8490,Pédagogique,Pédagogie Générale,Boyulu,inconnu
1836,8492,Technique,Commerciale administrative,Maedeleo,inconnu
1837,8493,Technique,Sociale,Bahati,inconnu
1838,8494,Scientifique,Biologie-Chimie,ICL,inconnu
1839,8496,Technique,Commerciale administrative,Mwanga/Uvira,inconnu
1840,8497,Scientifique,Biologie-Chimie,ICL,inconnu
1841,8498,Infirmier,Santé communautaire,ITM DE BOGA,inconnu
1842,8499,Technique,Commerciale administrative,Rwanzurur,inconnu
1843,8503,Scientifique,Biologie-Chimie,CS Lafontaine,inconnu
1844,8504,Pédagogique,Pédagogie Générale,Kitshanga,inconnu
1845,8506,Scientifique,Math-Physique,CS Etoile,inconnu
1846,8507,Littéraire,Latin Philo,Metanoia,inconnu
1847,8508,Scientifique,Math-Physique,Katwa,inconnu
1848,8509,Technique,Sociale,Mont Carmel,inconnu
1849,8510,Technique,Commerciale informatique,Tumaini,inconnu
1850,8512,Technique,Sociale,Mukwale,inconnu
1851,8515,Technique,Sociale,Mikeno NC,inconnu
1852,8517,Technique,Sociale,Mikeno Islamique,inconnu
1853,8518,Scientifique,Biologie-Chimie,Lycée Amani,inconnu
1854,8519,Pédagogie,Pédagogie Générale,Kalungu,inconnu
1855,8520,Pédagogique,Pédagogie Appliquée,Mushere,inconnu
1856,8521,Technique,Sociale,St André,inconnu
1857,8525,Littéraire,LATIN PHILO,ENANO,inconnu
1858,8526,Pédagogique,Pédagogie Générale,Lycée Pain de vie,inconnu
1859,8528,Technique,Commerciale administrative,ICL,inconnu
1860,8530,Pédagogique,Pédagogie Générale,CS La relève,inconnu
1861,8531,Technique,Sociale,Mont Sinai,inconnu
1862,8532,Littéraire,Latin Philo,Metanoia,inconnu
1863,8533,Technique,Sociale,St Etienne,inconnu
1864,8534,Pédagogique,Pédagogie Générale,CS Nova stella,inconnu
1865,8535,Scientifique,Math-Physique,Majengo,inconnu
1866,8536,Technique,Sociale,Juhudi,inconnu
1867,8538,Technique,Electronique,MAHAMBA,inconnu
1868,8539,Technique,Commerciale Administrative,Isidore Bakanja,inconnu
1869,8542,Pédagogique,Pédagogie Générale,Faraja,inconnu
1870,8544,Technique,Commerciale Administrative,Mwanga,inconnu
1871,8545,Technique,Commerciale Administrative,Lycée Kimbilio,inconnu
1872,8546,Pédagogique,Pédagogie Générale,Instigo,inconnu
1873,8548,Littéraire,Latin Philo,Mwanga,inconnu
1874,8551,Littéraire,Latin Philo,Ziwa Kivu,inconnu
1875,8553,Technique,Sociale,Msawato,inconnu
1876,8554,Scienctifique,Biologie-chimie,EPAF,inconnu
1877,8555,Littéraire,Latin Philo,Mwanga,inconnu
1878,8556,Pédagogique,Pédagogie Générale,Maendeleo,inconnu
1879,8557,Pédagogique,Pédagogie Générale,CS Nuru,inconnu
1880,8559,Technique,Sociale,Maedeleo,inconnu
1881,8560,Littéraire,Latin Philo,CS Les Aigle de Dieu,inconnu
1882,8561,Scienctifique,Biologie-chimie,Majengo,inconnu
1883,8562,Pédagogique,Pédagogie Générale,Autodidacte,inconnu
1884,8564,Pédagogique,Pédagogie Générale,Autodidacte,inconnu
1885,8565,Littéraire,Latin Philo,Himbi,inconnu
1886,8566,Scientifique,Math-Physique,61,inconnu
1887,8570,Scientifique,Mécanique générale,Maranatha,inconnu
1888,8571,Littéraire,Latin Philo,Autodidacte,inconnu
1889,8574,Technique,Sociale,Mbaga,inconnu
1890,8575,Pédagogique,Pédagogie Générale,Autodidacte,inconnu
1891,8576,Technique,Commerciale administrative,Bokolo,inconnu
1892,8577,Technique,Commerciale,Manga,inconnu
1893,8578,Pédagogique,Pédagogie Générale,Asteria Urafiki,inconnu
1894,8580,Technique,Electricité,Kyeshero,inconnu
1895,8581,Littéraire,Latin Philo,IDAP ISP Bunia,inconnu
1896,8582,Scienctifique,Math-Physique,Majengo,inconnu
1897,8583,Littéraire,Latin Philo,Alfajiri,inconnu
1898,8584,Technique,Sociale,Matumaini,inconnu
1899,8585,Technique,Commerciale Administrative,Collège d'Amitié,inconnu
1900,8588,Pédagogique,Pédagogie Générale,Cidasa,inconnu
1901,8594,Pédagogique,Pédagogie Générale,Lycée Wima,catholique
1902,8595,Pédagogique,Pédagogie Générale,Nyamusirwa,inconnu
1903,8598,Technique,Sociale,Mont Carmel,inconnu
1904,8600,Scientifique,Biologie-Chimie,CS Mama Yetu,inconnu
1905,8601,Pédagogique,Pédagogie Générale,Lwanga,inconnu
1906,8602,Pédagogique,Pédagogie Générale,CS Bimenya,inconnu
1907,8603,Pédagogique,Pédagogie Générale,Tuendee,inconnu
1908,8604,Pédagogique,Pédagogie Générale,Totoro,inconnu
1909,8605,Pédagogique,Pédagogie Générale,CS Du 8 mars,inconnu
1910,8606,Technique,Sociale,Msawato,inconnu
1911,8607,Pédagogique,Pédagogie Générale,salama,inconnu
1912,8608,Pédagogique,Pédagogie Générale,mARANATHA,inconnu
1913,8610,Scientifique,Math-Physique,Bungulu,inconnu
1914,8611,Pédagogique,Pédagogie Générale,Institut de Goma,inconnu
1915,8612,Pédagogique,Pédagogie Générale,Fadhili,inconnu
