,IDENTIFICATION,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS
67,3574,PEDAGOGIEQUE,PEDA GENERALE,AUTO,inconnu
68,3577,SC,BC,I DE BKV,inconnu
69,3578,PEDAGOGIEQUE,PG,I MALKIA WAMBINGU,inconnu
70,3579,PEDAGOGIEQUE,PEDA GENERALE,INST LUKANGA,inconnu
71,3588,SCIENTIFIQUE,BIO CHIMIE,INST ISIDORE BAKANJA,inconnu
72,3590,SCIENTIFIQUE,BIO CHIMIE,I BAKANJA,inconnu
73,3591,SCIENTIFIQUE,BIO CHIMIE,MWANGA,inconnu
74,3610,SC,BC,GSCC/KIGALI,inconnu
75,3611,PEDAGOGIEQUE,PEDA GENERALE,I HODARI,inconnu
76,3612,LITTERAIRE,LATIN PHILO,INSTITUT METANOIA,inconnu
77,3617,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT FADHILI,inconnu
78,3624,PED,PG,I MAENDELEO,inconnu
79,3625,PEDAGOGIEQUE,PG,I KARAMBI,inconnu
80,3626,TECHN,ELECTRI,ITIG,inconnu
81,3627,TECH  INDUST,MEC GEN,ITIG,inconnu
82,3629,PED,PG,INST FARAJA,inconnu
83,3633,TEC,CA,BAKANJA,inconnu
84,3634,TEC,CA,RUTOBOKO,inconnu
85,3635,PED,PG,MABULA,inconnu
86,3636,PED,PG,AMANI,inconnu
87,3637,PED,PG,NDAHURA,inconnu
88,3639,TECH,COMM INFORMATIQUE,CS MAMA YETU,inconnu
89,3643,PED,PG,IBANDA,inconnu
90,3645,PED,PG,HUMULE,inconnu
91,3646,ELE,ELE INDUDTRIELLE,AVENIR,inconnu
92,3647,PED,PG,INST BASHU,inconnu
93,3648,PED,PG,KITSIMBA,inconnu
94,3649,TEC,SOCIALE,KAVAGHENDI,inconnu
95,3650,PED,PG,ARETINA SAKA,inconnu
96,3651,TECHN,CA,I IBANDA,inconnu
97,3653,TEC,NUTRITION,BULUMBI,inconnu
98,3656,TECH,SOCIALE,MIKENO OFF,inconnu
99,3658,TEC,CA,METANOIA,inconnu
100,3659,PED,PG,SAINTE FAMILLE,inconnu
101,3660,LIT,LP,HIMBI,inconnu
102,3667,TECHNIQUE,COMMERCIALE ET ADMINISTRATIVE,INST MWANGA,inconnu
103,3668,TECHNIQUE,COMMERCIALE ET ADM,INST METANOIA,inconnu
104,3669,TECHN,CA,I JIKAZE,inconnu
105,3670,techc,CA,INST MWANGA,inconnu
106,3672,PED,PG,I KASHOFU,inconnu
107,3691,TECHNIQUE,COM ET ADM,EDAP/ISP,inconnu
108,3708,TECH,CA,I FARAJA,inconnu
109,3711,SC,MP,I MAJENGO,inconnu
110,3712,TECHN,CA,I RUTOBOKO,inconnu
111,3716,TECHN,CA,I MIKENO/OFF,inconnu
112,3718,LITTERAIRE,LATIN PHILO,INSTITUT KASHALI,inconnu
113,3723,TECHNIQUE,COMMERCIALE ET ADMI,INST METANOIA,inconnu
114,3727,PEDAGOGIEQUE,PEDA GENERALE,I ISIDORE BAKANJA,inconnu
115,3730,TECHNIQUE,COMMERCIALE ET ADM,INST MGR KATALIKO,inconnu
116,3731,PEDAGOGIEQUE,PG,LYCEE ANUARITE,inconnu
117,3734,TECHNIQUE,COMM ET ADM,INST HIMBI,inconnu
118,3736,SCIENTIFIQUE,BIOCHIMIE,LYCEE AMANI,inconnu
119,3737,TECHNIQUE,COMM ET ADM,INSTITUT DE GOMA,inconnu
120,3747,SC,MP,COLLEGE SAINT PAUL,inconnu
121,3755,TECHNIQUE,SOCIALE,INST NYABUSHONGO,inconnu
122,3756,PED,PG,I MORIA,inconnu
123,3760,SC,MP,I MAJENGO,inconnu
124,3761,TECHN,COMM ET ADM,I KISIMBA,inconnu
125,3770,TECHNIQUE,SOCIALE,INST TUMAINI,inconnu
126,3776,litt,lp,LYCEE MWANDU,inconnu
127,3779,TECHNIQUE,COMMERCIALE,LYCEE CHEMCHEM,inconnu
128,3789,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT METANOIA,inconnu
129,3791,PEDAGOGIEQUE,PEDA GENERALE,I KILUKU,inconnu
130,3792,PEDAGOGIEQUE,PEDA GENERALE,INST KASIKA,inconnu
131,3803,PEDAGOGIEQUE,PG,I NDAHURA,inconnu
132,3804,PEDAGOGIEQUE,PG,L KATANA,inconnu
133,3809,PEDAGOGIEQUE,PEDA GENERALE,I MONT GOMA,inconnu
134,3810,TECHNIQUE,CA,INST METANOIA,inconnu
135,3812,PED,PG,I ISIDORE BAKANJA,inconnu
136,3815,TEC,CA,INSTIGO,inconnu
137,3817,TECHNIQUE,SOCIALE,LYCEE CHERCHEM,inconnu
138,3820,PEDAGOGIEQUE,PG,I FURAHA,inconnu
139,3821,TEC,CA,KIMBILIO,inconnu
140,3827,TECHN,CA,I METANOIA,inconnu
141,3832,TECHN,COMM ET ADM,INST ST JOSEPH,inconnu
142,3833,SCIENTIFIQUE,MATH PHYSIQUE,INST D'IBANDA,inconnu
143,3835,TECH,CA,INST ST JOSEPH,inconnu
144,3838,SC,BC,L AMANI,inconnu
145,3849,SCIENTIFIQUE,BIO CHIMIE,LYCEE AMANI,inconnu
146,3850,TECHN,CA,I BAKANJA,inconnu
147,3854,SC,BC,LYCEE AMANI,inconnu
148,3858,PEDAGOGIEQUE,PEDA GENERALE,I VISOKE,inconnu
149,3859,SCIENTIFIQUE,MATH PHYSIQUE,INST MAJENGO,inconnu
150,3862,TECHNIQUE,COMMERCIALE ET ADM,INST LUKUNGA,inconnu
151,3864,PEDAGOGIEQUE,PEDA GEN,I MORIA,inconnu
152,3868,PEDAGOGIEQUE,PEDA GEN,INST DE GOMA,inconnu
153,3874,PED,PG,AUTODIDACTE,inconnu
154,3876,LITTERAIRE,LATIN PHILO,I METANOIA,inconnu
155,3878,SCIENTIFIQUE,BIO CHIMIE,LYCEE AMANI,inconnu
156,3881,PEDAGOGIEQUE,PG,I KARAMBI,inconnu
157,3883,TECHNIQUE,COMM ET ADM,INSTITUT METANOIA,inconnu
158,3891,TECHNIQUE,COMMERC ET ADM,INST METANOIA,inconnu
159,3892,TECHNIQUE,COMMERCIALE ET ADMIN,I METANOIA,inconnu
160,3894,TECHN,CA,I BUNGULU,inconnu
161,3895,TECHN,CA,I ZANNER,inconnu
162,3902,PEDAGOGIEQUE,PEDA GENERALE,INST ISHUNGU,inconnu
163,3907,TECHN,CA,INST MARANATHA,inconnu
164,3908,SC,MP,FARAJA,inconnu
165,3909,PEDAGOGIEQUE,PG,I ISIDORE BAKANJE,inconnu
166,3914,PEDAGOGIEQUE,PG,I MSAWATO,inconnu
167,3915,SCIENTIFIQUE,BC,I METANOIA,inconnu
168,3917,TECHN,CA,CS MAMA YETU,inconnu
169,3918,SCIENTIFIQUE,B,LYCEE AMANI,inconnu
170,3919,TECHNI,SOCIALE,INST BAKANJA,inconnu
171,3920,LITTERAIRE,LATIN PHILO,INSTITUT MWANGA,inconnu
172,3923,PEDAGOGIEQUE,PEDA GENERALE,INST TUMAINI,inconnu
173,3930,TECH,CA,I MWANGA,inconnu
174,3935,TECHN,COUPE COUTURE,LYCEE WIMA,inconnu
175,3936,PEDAGOGIEQUE,PG,INST BUTURANDE,inconnu
176,3944,LITT,LP,I METANOIA,inconnu
177,3954,PEDAGOGIEQUE,PEDA GENERALE,INST IMANI/PANZI,inconnu
178,3963,NUTRITION,inconnu,LYCEE CHEMCHEM,inconnu
179,3978,PED,PG,I SHIRIKISHO,inconnu
180,3992,SCIENTIFIQUE,MATH PHYSIQUE,INST DE KATWA,inconnu
181,4012,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT KALIMBA,inconnu
182,4014,SCIENTIFIQUE,MATH PHYSIQUE,COLLEGE ALFAJIRI,inconnu
183,4023,SC,BC,I LWANGA,inconnu
184,4024,TEC,SOCIALE,MIKENO ISLAMIQUE,inconnu
185,4026,PEDAGOGIEQUE,PEDA GENERALE,INST BAKANJA,inconnu
186,4032,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT MSAWATO,inconnu
187,4038,LITT,LATIN PHILO,I HIMBI,inconnu
188,4039,PEDAGOGIEQUE,PG,AUTODIDACTE,inconnu
189,4040,PEDAGOGIEQUE,PEDA GENERALE,INST UJASIRI,inconnu
190,4041,PED,PG,INST SAINT ANDRE,inconnu
191,4043,LITT,LP,I DE L'ENANO,inconnu
192,4048,TECH,CA,INST ZANNER,inconnu
193,4057,SCIENTIFIQUE,BIO CHIMIE,I RWABIKA,inconnu
194,4064,PEDAGOGIEQUE,PEDA GENERALE,INSTITUT MAENDELEO,inconnu
195,4071,MECANIQUE,MACHINES OUTILS,ITFM,inconnu
196,4072,SCIENTIFIQUE,MP,COLLEGE ALFAJIRI,inconnu
197,4073,SCIENTIFIQUE,MP,I MAJENGO,inconnu
198,4074,TECHN,ELECTRICITE,ITIG,inconnu
199,4083,MECANIQUE,MECA MACHINES OUTILS,ITFM,inconnu
200,4091,SCIENTIFIQUE,BIO CHIMIE,INSTITUT  METANOIA,inconnu
201,4093,SCIENTIFIQUE,MP,I MAJENGO,inconnu
202,4094,MECANIQUE,inconnu,UTFM,inconnu
203,4097,techni,MECANIQUE,ITFM/BKV,inconnu
204,4101,sc,bc,COLLEGE SAINT PAUL,inconnu
205,4104,TECHNIQUE,COMM ET ADM,INST METANOIA,inconnu
206,4106,TECHNI INDUST,MECANIQUE GEN,ITIG,inconnu
207,4107,PEDAGOGIEQUE,PDAGOGIE GENERALE,I NAMURHERA,inconnu
208,4117,MECANIQUE,MACHINE OUTIL,ITFM/BKV,inconnu
209,4119,TECHN,CA,I METANOIA,inconnu
210,4125,LITT,LATIN PHILIO,I MWANGA,inconnu
211,4126,TECHNIQUE,COUPE COUTURE,LYCEE KIMBILIO,inconnu
212,4128,TECHN,CA,I JIKAZE,inconnu
213,4129,PEDAGOGIEQUE,PG,LYCEE PAIN DE VIE,inconnu
214,4136,PED,PG,INSTITUT KASIKA,inconnu
215,4137,PED,PG,INST FARAJA,inconnu
216,4140,PED,PG,I KASIKA,inconnu
217,4143,PED,PG,LYCEE KATANA,inconnu
218,4149,TECHNI,SOCIALE,INST MIKENO,inconnu
219,4167,PEDAGOGIEQUE,PG,INST NYABUSHONGO,inconnu
220,4168,PEDAGOGIEQUE,PG,INST MUSAWATO,inconnu
221,4171,TECHN,MECANIQUE,ITIG,inconnu
222,4172,SC,BC,INST DE GOMA,inconnu
223,4177,PEDAGOGIEQUE,PG,INST UJASIRI,inconnu
224,4178,SCIENTIFIQUE,BC,INS MWANGA,inconnu
225,4181,Littéraire,Latin Philo,KAMBALI,inconnu
226,4183,LITT,LATIN PHILO,INST MWANGA,inconnu
227,4185,TECH,CA,INST MARANATHA,inconnu
228,4197,PEDAGOGIEQUE,PEDA GENERALE,I ENANO,inconnu
229,4200,SCIENTIFIQUE,MATH PHYSIQUE,INST MAJENGO,inconnu
230,4206,TEC,CA,MIKENO,inconnu
231,4214,SC,MP,BUNGULU,inconnu
232,4216,TEC,CA,MASISI2,inconnu
233,4217,TEC,CA,ZANNER,inconnu
234,4225,PED,PG,NIDUNGA,inconnu
235,4227,PED,PG,VISOKE,inconnu
236,4231,PED,PG,L MAPEMA,inconnu
237,4233,LIT,LP,MAENDELEO,inconnu
238,4236,TEC,CA,MIKENO ISL,inconnu
239,4238,PEG,PG,LUKANGA,inconnu
240,4240,PED,PG,L ANUARITE,inconnu
241,4241,TEC,CA,METANOIA,inconnu
242,4245,PED,PG,CS YESU NI JIBU,inconnu
243,4246,PED,PG,INST NENGAPETA,inconnu
244,4249,SC,BC,NIKISI,inconnu
245,4252,LIT,LP,MWANGA,inconnu
246,4254,TEC,CA,HIMBI,inconnu
