,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS,SCHOOL_CORRECT,SCHOOL_RIGHT,OPTION
1485,PEDAGOGIEQUE,peda generale,intitut metanoia,protestant,metanoia,metanoia,pedagogie
1488,LIT,lp,metanoia,protestant,metanoia,metanoia,latin philo
1497,LIT,lp,metanoia,protestant,metanoia,metanoia,latin philo
1503,LIT,lp,metanoia,protestant,metanoia,metanoia,latin philo
1505,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
1545,TECHNIQUE,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
1588,TECHNIQUE,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
1611,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
1619,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
1622,SCIENTIFIQUE,bio-chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
1624,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
1629,SCIENTIFIQUE,bio-chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
1632,LITERRAIRE,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
1651,TECHNIQUE,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
1671,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
1693,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
1707,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
1717,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
1732,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
1736,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
1772,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
1773,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
1785,SCIENTIFIQUE,bio-chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
1787,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
1804,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
1846,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
1862,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
1933,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
1985,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2004,Techniqe,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2034,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2065,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2074,Littéraire,latin-philo,metanoia,protestant,metanoia,metanoia,latin philo
2079,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
2095,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2097,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
2131,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2133,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
2134,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2142,Littéraire,latin-philo,metanoia,protestant,metanoia,metanoia,latin philo
2151,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2158,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2173,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2197,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2224,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2227,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
2232,Scientifique,biologie chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
2272,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2278,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2304,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2318,Scientifique,biologie chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
2338,Scientifique,biologie chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
2351,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2352,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2353,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2366,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
2395,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2400,Scientifique,biologie chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
2405,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
2415,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2444,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2450,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2481,Scientifique,biologie chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
2483,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
2529,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2530,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2550,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2557,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2562,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2565,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2568,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2572,Scientifique,biologie chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
2574,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2575,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
2622,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
2628,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2668,Littéraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
2703,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2714,Scientifique,biologie chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
2778,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2780,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
2819,Technique,commerciale admnistrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2851,Technique,commerciale administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2856,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2860,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2862,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2864,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2865,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2874,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2876,Littéraire,latin-philo,metanoia,protestant,metanoia,metanoia,latin philo
2885,Littéraire,latin-philo,metanoia,protestant,metanoia,metanoia,latin philo
2887,Litteraire,latin philo,metanoia,protestant,metanoia,metanoia,latin philo
2906,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2915,Scientifique,biologie-chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
2917,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
2924,Littéraire,latin philosophie,metanoia,protestant,metanoia,metanoia,latin philo
2925,Littéraire,latin philosophie,metanoia,protestant,metanoia,metanoia,latin philo
2947,Littéraire,latin philosophie,metanoia,protestant,metanoia,metanoia,latin philo
2963,Littéraire,latin philosophie,metanoia,protestant,metanoia,metanoia,latin philo
2983,Littéraire,latin philosophie,metanoia,protestant,metanoia,metanoia,latin philo
2985,Scientifique,biologie chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
2993,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
3000,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
3001,Scientifique,biologie chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
3009,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
3024,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
3107,Technique,commerciale et administra,metanoia,protestant,metanoia,metanoia,commmerciale et adm
3115,Scientifique,biologie chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
3157,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
3164,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
3236,Litteraire,latin philosophie,institut metanoia,protestant,metanoia,metanoia,latin philo
3278,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
3289,Litteraire,latin philosophie,institut metanoia,protestant,metanoia,metanoia,latin philo
3376,Littéraire,latin philosophie,metanoia,protestant,metanoia,metanoia,latin philo
3381,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
3436,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
3454,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
3456,Scientifique,biologie-chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
3467,Scientifique,biologie-chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
3533,Scientifique,biologie-chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
3543,Scientifique,biologie-chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
3547,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
3560,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
3562,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
3590,Scientifique,biologie-chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
3614,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
3642,Littéraire,latin philosophie,metanoia,protestant,metanoia,metanoia,latin philo
3652,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
3660,Littéraire,latin philosophie,metanoia,protestant,metanoia,metanoia,latin philo
3679,Littéraire,latin philosophie,metanoia,protestant,metanoia,metanoia,latin philo
3683,Scientifique,biologie-chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
3696,Scientifique,biologie chimie,metanoia,protestant,metanoia,metanoia,bio-chimie
3711,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
3712,Littéraire,latin philosophie,metanoia,protestant,metanoia,metanoia,latin philo
3713,Littéraire,latin philosophie,metanoia,protestant,metanoia,metanoia,latin philo
3731,Technique,commerciale et administrative,metanoia,protestant,metanoia,metanoia,commmerciale et adm
3734,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
3773,Technique,commerciale et administrativie,metanoia,protestant,metanoia,metanoia,commmerciale et adm
3782,Pédagogique,pédagogie générale,metanoia,protestant,metanoia,metanoia,pedagogie
3890,LITTERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
3904,LITTERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
3939,LITTERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
3941,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
3942,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
3956,COMMERCIALE,commerciale et administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
3970,LITTERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
3992,COMMERCIALE,commerciale et administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
3997,COMMERCIALE,commerciale et administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
3998,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4001,PEDAGOGIE,pedagogie generale,institut metanoia,protestant,metanoia,metanoia,pedagogie
4017,COMMERCIALE,commerciale et administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4027,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4033,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4054,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4055,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4078,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4092,LITTERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
4124,COMMERCIALE,commerciale et administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4134,COMMERCIALE,commerciale et administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4144,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4161,COMMERCIALE,commerciale et administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4163,LITTERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
4171,PEDAGOGIE,pedagogie generale,institut metanoia,protestant,metanoia,metanoia,pedagogie
4192,COMMERCIALE,commerciale et administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4201,COMMERCIALE,commerciale et administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4221,PEDAGOGIE,pedagogie generale,institut metanoia,protestant,metanoia,metanoia,pedagogie
4242,LITERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
4253,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4267,PEDAGOGIE,pedagogie generale,institut metanoia,protestant,metanoia,metanoia,pedagogie
4269,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4273,PEDAGOGIE,pedagogie generale,institut metanoia,protestant,metanoia,metanoia,pedagogie
4299,COMMERCIALE,commercialen et administraive,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4331,COMMERCIALE,commercialen et administraive,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4335,COMMERCIALE,commercialen et administraive,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4351,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4365,LITERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
4383,PEDAGOGIE,pedagogie generale,institut metanoia,protestant,metanoia,metanoia,pedagogie
4393,COMMERCIALE,commercialen et administraive,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4435,COMMERCIALE,commerciale administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4464,PEGAGOGIE,pedagogie generale,institut metanoia,privé,metanoia,metanoia,pedagogie
4495,LITTERAIRE,latin philo,institut metanoia,privé,metanoia,metanoia,latin philo
4499,LITTERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
4502,LITTERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
4508,LITTERAIRE,latin philo,institut metanoia,protestant,metanoia,metanoia,latin philo
4525,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
4532,COMMERCIALE,commerciale et administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4604,COMMERCIALE,commerciale et administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4687,COMMERCIALE,commerciale administrative,institut metanoia,protestant,metanoia,metanoia,commmerciale et adm
4689,SCIENTIFIQUE,bio chimie,institut metanoia,protestant,metanoia,metanoia,bio-chimie
3334,Technique,commerciale et administrative,institut tumba,privé,tumba,tumba,commmerciale et adm
3354,Pédagogique,pédagogie générale,tumba,privé,tumba,tumba,pedagogie
3427,Technique,commerciale et administrative,tumba,privé,tumba,tumba,commmerciale et adm
3430,Scientifique,biologie chimie,tumba,privé,tumba,tumba,bio-chimie
3437,Pédagogique,pédagogie générale,tumba,privé,tumba,tumba,pedagogie
3488,Pédagogique,pédagogie générale,tumba,privé,tumba,tumba,pedagogie
3693,Pédagogique,pédagogie générale,tumba,privé,tumba,tumba,pedagogie
3702,Pédagogique,pédagogie générale,tumba,privé,tumba,tumba,pedagogie
3708,Scientifique,biologie chimie,tumba,privé,tumba,tumba,bio-chimie
4289,COMMERCIALE,commercialen et administraive,institut tumba,privé,tumba,tumba,commmerciale et adm
207,PEDAGOGIEQUE,pdagogie generale,i namurhera,publique,namurhera,namurera,pedagogie
359,PED,pg,namurhera,publique,namurhera,namurera,pedagogie
863,PD,pg,namurera,publique,namurera,namurera,pedagogie
1967,Technique,commerciale administrative,nuru/uvira,publique,nuru/uvira,namurera,commmerciale et adm
2742,Pédagogique,pédagogie générale,kanyamwera,publique,kanyamwera,namurera,pedagogie
3139,Pédagogique,pédagogie générale,namurhera,publique,namurhera,namurera,pedagogie
3312,Pedagogique,pedagogie générale,amugeri,publique,amugeri,namurera,pedagogie
4080,PEDAGOGIE,pedagogie generale,institut namurhera,publique,namurhera,namurera,pedagogie
85,PED,pg,mabula,publique,mabula,mabula,pedagogie
444,PED,pg,mabula,publique,mabula,mabula,pedagogie
4589,PEDAGOGIE,pedagogie generale,institut mbula,publique,mbula,mabula,pedagogie
4609,PEDAGOGIE,pedagogie generale,mabula/ihoka,privé,mabula/ihoka,mabula,pedagogie
1107,PED,pg,tisiesi,privé,tisiesi,tisiesi,pedagogie
4199,TECHNIQUE,sociale,cs tisiesi,privé,tisiesi,tisiesi,sociale
1562,TECHNIQUE,commerciale administrative,virunga quartier,privé,virunga quartier,virunga/quartier,commmerciale et adm
3949,PEDAGOGIE,pedagogie generale,cs virunga/sud,privé,virunga/sud,virunga/quartier,pedagogie
4498,COMMERCIALE,commerciale et administrative,institut virunga/quartier,publique,virunga/quartier,virunga/quartier,commmerciale et adm
1863,Technique,sociale,st etienne,catholique,st etienne,st etienne,sociale
4149,COMMERCIALE,commerciale et administrative,saint etienne college,catholique,saint etienne,st etienne,commmerciale et adm
442,PED,pg,chidasa,protestant,chidasa,chidasa,pedagogie
707,PED,pg,cidasa,protestant,cidasa,chidasa,pedagogie
1479,LITTERAIRE,latin philo,ciesk,protestant,ciesk,chidasa,latin philo
1900,Pédagogique,pédagogie générale,cidasa,protestant,cidasa,chidasa,pedagogie
2795,Technique,sociale,chireja,protestant,chireja,chidasa,sociale
3189,Technique,sociale,acg imara,protestant,acg imara,chidasa,sociale
3802,Scientifique,mathématique physique,cidasa,protestant,cidasa,chidasa,math-physique
4587,PEDAGOGIE,pedagogie generale,institut chiduha,protestant,chiduha,chidasa,pedagogie
191,LITT,lp,i de l'enano,privé,de l'enano,de l'unite,latin philo
2288,Technique,commerciale et administrative,collège de l'enano,privé,de l'enano,de l'unite,commmerciale et adm
3328,Technique,sociale,institut de la trinité,privé,de la trinité,de l'unite,sociale
3927,TECHNIQUE,sociale,cs de l'unite,privé,de l'unite,de l'unite,sociale
4261,TECHNIQUE,mecanique automobile,cs de l'union,privé,de l'union,de l'unite,mec gene
4409,PEGAGOGIE,pedagogie generale,institut de l'unite,privé,de l'unite,de l'unite,pedagogie
4577,LITTERAIRE,latin philo,college de l'enano,catholique,de l'enano,de l'unite,latin philo
4606,PEDAGOGIE,pedagogie generale,institut de luiro,publique,de luiro,de l'unite,pedagogie
1458,PED,pg,busimba,catholique,busimba,busimba,pedagogie
4553,PEDAGOGIE,pedagogie generale,institut busimba,catholique,busimba,busimba,pedagogie
70,PEDAGOGIEQUE,peda generale,inst lukanga,protestant,lukanga,lukanga,pedagogie
150,TECHNIQUE,commerciale et adm,inst lukunga,protestant,lukunga,lukanga,commmerciale et adm
239,PEG,pg,lukanga,protestant,lukanga,lukanga,pedagogie
389,TEC,ca,lukanga,protestant,lukanga,lukanga,commmerciale et adm
728,SC,bc,lukanga,protestant,lukanga,lukanga,bio-chimie
951,PED,pg,lukanga,protestant,lukanga,lukanga,pedagogie
1080,PED,pg,lukanga,protestant,lukanga,lukanga,pedagogie
1419,SC,bc,lukanga,protestant,lukanga,lukanga,bio-chimie
2006,Pédagogique,pédagogie générale,lukanga,protestant,lukanga,lukanga,pedagogie
2007,Pédagogique,pédagogie générale,lukanga,protestant,lukanga,lukanga,pedagogie
2028,Pédagogique,pédagogie générale,lukanga,protestant,lukanga,lukanga,pedagogie
2446,Technique,mécanique outil,lukanga,protestant,lukanga,lukanga,machine outil
2663,Technique,mécanique machines outlis,lukanga,protestant,lukanga,lukanga,mecanique machines outils
2740,Scientifique,biologie chimie,lukanga,protestant,lukanga,lukanga,bio-chimie
2753,Technique,commerciale informatique,lukanga,protestant,lukanga,lukanga,commerciale informatique
3594,Technique,electronique,it lukanga,protestant,it lukanga,lukanga,elec
3737,Pédagogique,pédagogie générale,lukanga,protestant,lukanga,lukanga,pedagogie
3854,Technique,commerciale et administrative,lukanga,protestant,lukanga,lukanga,commmerciale et adm
3869,Pédagogique,pégagogie générale,lukanga,protestant,lukanga,lukanga,pedagogie
4156,PEDAGOGIE,pedagogie generale,institut de lukanga,protestant,de lukanga,lukanga,pedagogie
4483,PEGAGOGIE,pedagogie generale,institut lukanga,protestant,lukanga,lukanga,pedagogie
129,PEDAGOGIEQUE,peda generale,i kiluku,protestant,kiluku,kalungu,pedagogie
283,PED,pg,bangu,protestant,bangu,kalungu,pedagogie
285,PED,pg,mazinge,protestant,mazinge,kalungu,pedagogie
415,PED,pg,kiluku,protestant,kiluku,kalungu,pedagogie
498,TEC,soc,bangu,protestant,bangu,kalungu,sociale
541,LIT,lp,bangu,protestant,bangu,kalungu,latin philo
629,PED,pg,inst kalungu,protestant,kalungu,kalungu,pedagogie
877,PED,pg,kalungu,protestant,kalungu,kalungu,pedagogie
898,TEC,sociale,kalundu,protestant,kalundu,kalungu,sociale
1010,LIT,lp,bangu,protestant,bangu,kalungu,latin philo
1032,PED,pg,enungu,protestant,enungu,kalungu,pedagogie
1036,PED,pg,kalungu,protestant,kalungu,kalungu,pedagogie
1041,TEC,hotesse d'acc,kisungu,protestant,kisungu,kalungu,hotesse d'acceuil
1103,PED,pg,kalungu,protestant,kalungu,kalungu,pedagogie
1154,PED,pg,kalungu,protestant,kalungu,kalungu,pedagogie
1180,PEDAGOGIEQUE,peda generale,institut kiluku,protestant,kiluku,kalungu,pedagogie
1233,PED,pg,kalungu,protestant,kalungu,kalungu,pedagogie
1397,PED,pg,kalngu,protestant,kalngu,kalungu,pedagogie
1416,LITTERAIRE,latin philo,institut bangu,protestant,bangu,kalungu,latin philo
1546,PEDAGOGIE,pedagogie generale,kasuku,protestant,kasuku,kalungu,pedagogie
1681,PEDAGOGIE,pedagogie generale,kakungwe,protestant,kakungwe,kalungu,pedagogie
1752,Technique,vétérinaire,itv/walukngu,protestant,itv/walukngu,kalungu,vétérinaire
1821,Technique,sociale,kalundu,protestant,kalundu,kalungu,sociale
1854,Pédagogie,pédagogie générale,kalungu,protestant,kalungu,kalungu,pedagogie
2023,Technique,sociale,bangu,protestant,bangu,kalungu,sociale
2451,Pédagogique,pédagogie générale,bangu,protestant,bangu,kalungu,pedagogie
2468,Pédagogique,pédagogie générale,kadutu,protestant,kadutu,kalungu,pedagogie
2537,Pédagogique,pédagogie générale,makungu,protestant,makungu,kalungu,pedagogie
2638,Littéraire,latin philo,bangu,protestant,bangu,kalungu,latin philo
2722,Pédagogique,pédagogie générale,kiluku,protestant,kiluku,kalungu,pedagogie
2727,Pédagogique,pédagogie générale,mabingu,protestant,mabingu,kalungu,pedagogie
2813,Pédagogique,pédagogie générale,kisungu,protestant,kisungu,kalungu,pedagogie
2931,Technique,sociale,kadutu,protestant,kadutu,kalungu,sociale
2974,Pédagogique,pédagogie générale,kisungu,protestant,kisungu,kalungu,pedagogie
3198,Pédagogique,pédagogie générale,mulungu,protestant,mulungu,kalungu,pedagogie
3270,Pédagogique,pédagogie générale,institut kalungu,protestant,kalungu,kalungu,pedagogie
3347,Scientifique,mathématique physique,kisungu,protestant,kisungu,kalungu,math-physique
3359,Scientifique,mathématique physique,kisungu,protestant,kisungu,kalungu,math-physique
3403,Pédagogique,pédagogie générale,kakungwe,protestant,kakungwe,kalungu,pedagogie
3615,Pédagogique,pédagogie générale,institut bangu,protestant,bangu,kalungu,pedagogie
3729,Scientifique,mathématique-physique,kisungu,protestant,kisungu,kalungu,math-physique
3791,Pédagogique,pédagogie générale,cs bahunga,protestant,bahunga,kalungu,pedagogie
3986,TECHNIQUE,sociale,institut kalungu,protestant,kalungu,kalungu,sociale
4232,TECHNIQUE,sociale,institut bangu,protestant,bangu,kalungu,sociale
4245,PEDAGOGIE,pedagogie generale,institut bangu,protestant,bangu,kalungu,pedagogie
4319,PEDAGOGIE,pedagogie generale,institut kasuku,protestant,kasuku,kalungu,pedagogie
4549,COMMERCIALE,commerciale et administrative,institut bangu,privé,bangu,kalungu,commmerciale et adm
4595,PEDAGOGIE,pedagogie generale,cs kalonda,privé,kalonda,kalungu,pedagogie
4639,PEDAGOGIE,pedagogie generale,institut kalungu,publique,kalungu,kalungu,pedagogie
20,Technique,sociale,cs suka lapereaux,privé,suka lapereaux,la pereaux,sociale
1012,TEC,sociale,lapereaux,privé,lapereaux,la pereaux,sociale
1563,TECHNIQUE,sociale,cs lapereaux,privé,lapereaux,la pereaux,sociale
3412,Technique,sociale,cs lapereaux,privé,lapereaux,la pereaux,sociale
4367,TECHNIQUE,construction,cs la pereaux,privé,la pereaux,la pereaux,construction
4385,TECHNIQUE,sociale,cs la pereaux,privé,la pereaux,la pereaux,sociale
2560,Technique,sociale,cs kiyabo,privé,kiyabo,kiyabo,sociale
2710,Technique,sociale,cs kiyabo,privé,kiyabo,kiyabo,sociale
3983,PEDAGOGIE,pedagogie generale,cs kiyabo,privé,kiyabo,kiyabo,pedagogie
69,PEDAGOGIEQUE,pg,i malkia wambingu,catholique,malkia wambingu,malikia wa bingu,pedagogie
265,TECHN,comm informatique,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commerciale informatique
288,TEC,com informatique,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commerciale informatique
289,TECH COMMERC INFO,inconnu,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,inconnu
426,TECH,informatique,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commerciale informatique
543,TEC,ca,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commmerciale et adm
694,TEC,ca,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,commmerciale et adm
737,SC,bc,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,bio-chimie
740,Scientifique,biologie chimie,malkia wa mbingu,catholique,malkia wa mbingu,malikia wa bingu,bio-chimie
1115,PED,pg,mulezi wa bana,catholique,mulezi wa bana,malikia wa bingu,pedagogie
