,ID,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,PROM,Echec,Pass1erSession,Distinction,PercFinal
76,3068,2014-2015,,A,59.4000015259,S,FD,L2,False,False,False,59.4000015259
77,3106,2013-2014,,AA,,AA,FT,L2,True,False,False,45.0
78,3126,2012-2013,62.0,S,,,FT,L2,False,True,False,62.0
79,3135,2013-2014,,ADSTM,60.0999984741,S,FT,L2,False,False,False,60.0999984741
80,3137,2012-2013,65.1999969482,S,,,FSDC,L2,False,True,False,65.1999969482
81,3159,2014-2015,,AA,62.0,S,FSDC,L2,False,False,False,62.0
82,3196,2014-2015,61.5999984741,S,,,FSDC,L2,False,True,False,61.5999984741
83,3219,2013-2014,,AA,67.8000030518,S,FSTA,Tech2,False,False,False,67.8000030518
84,3248,2013-2014,,AA,56.0,S,FSEG,L1,False,False,False,56.0
85,3248,2014-2015,,AA,,A,FSEG,L2,True,False,False,44.0
86,3248,2015-2016,,AA,63.7999992371,S,FSEG,L2,False,False,False,63.7999992371
87,3251,2013-2014,,AA,60.9000015259,S,FSEG,G3,False,False,False,60.9000015259
88,3251,2014-2015,,AA,65.0999984741,S,FSEG,L1,False,False,False,65.0999984741
89,3251,2015-2016,64.8000030518,S,,,FSEG,L2,False,True,False,64.8000030518
90,3269,2013-2014,,AA,58.9000015259,S,FSEG,L2,False,False,False,58.9000015259
91,3271,2013-2014,,ADM,56.7000007629,S,FPSE,L2,False,False,False,56.7000007629
92,3285,2013-2014,,ADSTM,65.5999984741,S,FSTA,Tech2,False,False,False,65.5999984741
93,3288,2013-2014,,AA,,A,FSTA,Tech2,True,False,False,49.0
94,3289,2013-2014,,AA,,A,FSTA,Tech2,True,False,False,47.0
95,3298,2014-2015,67.1999969482,S,,,FPSE,L1,False,True,False,67.1999969482
96,3298,2015-2016,70.6999969482,D,,,FPSE,L2,False,True,True,70.6999969482
97,3313,2013-2014,,A,57.9000015259,S,FPSE,L2,False,False,False,57.9000015259
98,3320,2013-2014,,AA,,A,FSTA,Tech2,True,False,False,40.0
99,3322,2012-2013,61.0,S,,,FSEG,L2,False,True,False,61.0
100,3334,2013-2014,,AA,,A,FSTA,Tech2,True,False,False,43.0
101,3353,2013-2014,,A,63.0999984741,S,FSEG,L2,False,False,False,63.0999984741
102,3431,2013-2014,,ADSTM,62.0,S,FSTA,Tech2,False,False,False,62.0
103,3440,2013-2014,,AA,,A,FSTA,Tech1,True,False,False,41.0
104,3574,2012-2013,67.1999969482,S,,,FD,L2,False,True,False,67.1999969482
105,3577,2012-2013,68.0,S,,,FD,L2,False,True,False,68.0
106,3578,2012-2013,70.0999984741,D,,,FD,L2,False,True,True,70.0999984741
107,3579,2012-2013,60.7000007629,S,,,FD,G3,False,True,False,60.7000007629
108,3579,2013-2014,,AA,55.7999992371,S,FD,L1,False,False,False,55.7999992371
109,3579,2015-2016,55.0999984741,A,61.2000007629,S,FD,L2,False,False,False,61.2000007629
110,3588,2013-2014,,AA,73.5,D,FSTA,Tech1,False,False,True,73.5
111,3588,2014-2015,,AA,63.5999984741,S,FSTA,Tech2,False,False,False,63.5999984741
112,3590,2013-2014,,AA,59.5,S,FSTA,Tech1,False,False,False,59.5
113,3590,2014-2015,,AA,,A,FSTA,Tech2,True,False,False,45.0
114,3591,2013-2014,,ADSTM,73.9000015259,D,FSTA,Tech2,False,False,True,73.9000015259
115,3610,2013-2014,,AA,60.7999992371,S,FSDC,L1,False,False,False,60.7999992371
116,3610,2014-2015,59.5,A,60.5999984741,S,FSDC,L2,False,False,False,60.5999984741
117,3611,2013-2014,,A,60.0,S,FD,L2,False,False,False,60.0
118,3612,2012-2013,59.5999984741,S,,,FD,L2,False,True,False,59.5999984741
119,3617,2012-2013,59.2000007629,S,,,FPSE,L1Soir,False,True,False,59.2000007629
120,3617,2013-2014,,ADM,59.5,S,FPSE,L2,False,False,False,59.5
121,3624,2012-2013,61.4000015259,S,,,FD,L2,False,True,False,61.4000015259
122,3625,2013-2014,,AA,57.7000007629,S,FD,L2,False,False,False,57.7000007629
123,3626,2014-2015,71.9000015259,D,,,FSTA,Tech1,False,True,True,71.9000015259
124,3626,2015-2016,,ADSTM,,ADM,FSTA,Tech2,False,False,False,55.0
125,3627,2013-2014,,AA,67.0,S,FSTA,Tech2,False,False,False,67.0
126,3629,2012-2013,62.0999984741,S,,,FD,L2,False,True,False,62.0999984741
127,3633,2013-2014,64.5999984741,S,,,FSEG,L2,False,True,False,64.5999984741
128,3634,2013-2014,,AA,53.5999984741,S,FSEG,L1,False,False,False,53.5999984741
129,3634,2014-2015,,A,59.4000015259,S,FSEG,L2,False,False,False,59.4000015259
130,3635,2013-2014,,AA,61.2999992371,S,FSDC,L2,False,False,False,61.2999992371
131,3636,2013-2014,,AA,61.7000007629,S,FSEG,L2,False,False,False,61.7000007629
132,3637,2013-2014,66.4000015259,S,,,FSEG,L2,False,True,False,66.4000015259
133,3639,2013-2014,,AA,61.4000015259,S,FSEG,L2,False,False,False,61.4000015259
134,3643,2013-2014,,AA,52.0999984741,S,FSTA,G2,False,False,False,52.0999984741
135,3643,2014-2015,,AA,58.0,S,FSTA,G3,False,False,False,58.0
136,3643,2015-2016,,AA,64.4000015259,S,FSTA,Tech1,False,False,False,64.4000015259
137,3645,2013-2014,,AA,63.2000007629,S,FSTA,G3,False,False,False,63.2000007629
138,3645,2014-2015,,AA,66.0,S,FSTA,Tech1,False,False,False,66.0
139,3645,2015-2016,,AA,,AA,FSTA,Tech2,True,False,False,40.0
140,3646,2013-2014,,AA,73.3000030518,D,FSTA,Tech1,False,False,True,73.3000030518
141,3646,2014-2015,,AA,64.5,S,FSTA,Tech2,False,False,False,64.5
142,3647,2013-2014,,AA,65.8000030518,S,FT,L2,False,False,False,65.8000030518
143,3648,2012-2013,66.0999984741,S,,,FT,L1,False,True,False,66.0999984741
144,3648,2013-2014,67.8000030518,S,,,FT,L2,False,True,False,67.8000030518
145,3649,2012-2013,65.4000015259,S,,,FT,G3,False,True,False,65.4000015259
146,3650,2012-2013,61.0999984741,S,,,FT,L1,False,True,False,61.0999984741
147,3650,2013-2014,,A,,ADM,FT,L2,False,False,False,55.0
148,3650,2014-2015,,ADM,64.3000030518,S,FT,L2,False,False,False,64.3000030518
149,3651,2013-2014,,AA,63.4000015259,S,FT,L2,False,False,False,63.4000015259
150,3653,2012-2013,70.0999984741,D,,,FT,L1,False,True,True,70.0999984741
151,3653,2013-2014,70.8000030518,D,,,FT,L2,False,True,True,70.8000030518
152,3656,2013-2014,51.0,A,60.0,S,FSDC,L2,False,False,False,60.0
153,3658,2013-2014,68.3000030518,S,,,FSEG,L2,False,True,False,68.3000030518
154,3659,2013-2014,,AA,58.5999984741,S,FD,L1,False,False,False,58.5999984741
155,3659,2014-2015,,AA,63.4000015259,S,FD,L2,False,False,False,63.4000015259
156,3660,2013-2014,,AA,60.2000007629,S,FD,L2,False,False,False,60.2000007629
157,3667,2012-2013,58.5,S,,,FSEG,L2,False,True,False,58.5
158,3668,2012-2013,59.0,S,,,FSEG,L2,False,True,False,59.0
159,3669,2012-2013,63.2999992371,S,,,FSEG,L2,False,True,False,63.2999992371
160,3670,2012-2013,67.5999984741,S,,,FSEG,L2,False,True,False,67.5999984741
161,3672,2012-2013,62.0999984741,S,,,FD,L2,False,True,False,62.0999984741
162,3691,2013-2014,,AA,64.8000030518,S,FSTA,Tech1,False,False,False,64.8000030518
163,3691,2014-2015,,AA,63.7999992371,S,FSTA,Tech2,False,False,False,63.7999992371
164,3708,2013-2014,,AA,58.0,S,FSDC,L2,False,False,False,58.0
165,3711,2013-2014,,AA,67.0999984741,S,FT,G3,False,False,False,67.0999984741
166,3711,2014-2015,67.5999984741,S,,,FT,L1,False,True,False,67.5999984741
167,3711,2015-2016,71.6999969482,D,,,FT,L2,False,True,True,71.6999969482
168,3712,2013-2014,,ADM,63.5,S,FT,L2,False,False,False,63.5
169,3716,2012-2013,60.2999992371,S,,,FSEG,L2,False,True,False,60.2999992371
170,3718,2012-2013,56.7999992371,S,,,FSEG,L2,False,True,False,56.7999992371
171,3723,2013-2014,62.5,S,,,FSEG,L2,False,True,False,62.5
172,3727,2013-2014,,A,57.5999984741,S,FSEG,L2,False,False,False,57.5999984741
173,3730,2012-2013,62.0,S,,,FSEG,L2,False,True,False,62.0
174,3731,2013-2014,68.0,S,,,FSDC,G1,False,True,False,68.0
175,3731,2014-2015,65.9000015259,S,,,FSDC,G2,False,True,False,65.9000015259
176,3731,2015-2016,69.3000030518,S,,,FSDC,G3,False,True,False,69.3000030518
177,3734,2013-2014,,AA,61.7999992371,S,FSEG,L2,False,False,False,61.7999992371
178,3736,2012-2013,64.6999969482,S,,,FSEG,L2,False,True,False,64.6999969482
179,3737,2012-2013,64.8000030518,S,,,FSEG,L2,False,True,False,64.8000030518
180,3747,2013-2014,,ADM,61.7999992371,S,FSEG,L2,False,False,False,61.7999992371
181,3755,2013-2014,,AA,51.7999992371,NAF,FSEG,L1,True,False,False,51.7999992371
182,3755,2014-2015,49.0,A,57.2000007629,S,FSEG,L1,False,False,False,57.2000007629
183,3755,2015-2016,,AA,54.5999984741,S,FSEG,L2,False,False,False,54.5999984741
184,3756,2013-2014,,A,57.0999984741,S,FSEG,L2,False,False,False,57.0999984741
185,3760,2012-2013,66.0,S,,,FSTA,TECH1,False,True,False,66.0
186,3760,2013-2014,,ADSTM,70.5,D,FSTA,Tech2,False,False,True,70.5
187,3761,2012-2013,64.8000030518,S,,,FT,L1,False,True,False,64.8000030518
188,3770,2013-2014,,ADM,62.0999984741,S,FD,L2,False,False,False,62.0999984741
189,3776,2012-2013,70.0999984741,D,,,FD,L2,False,True,True,70.0999984741
190,3779,2012-2013,61.0999984741,S,,,FD,L2,False,True,False,61.0999984741
191,3789,2012-2013,66.5999984741,S,,,FPSE,L2,False,True,False,66.5999984741
192,3791,2013-2014,50.2000007629,A,65.3000030518,S,FPSE,L2,False,False,False,65.3000030518
193,3792,2012-2013,66.0,S,,,FPSE,L2,False,True,False,66.0
194,3803,2013-2014,51.0,A,59.2999992371,S,FPSE,L1,False,False,False,59.2999992371
195,3803,2014-2015,,A,62.0,S,FPSE,L2,False,False,False,62.0
196,3804,2013-2014,,ADM,65.9000015259,S,FPSE,L2,False,False,False,65.9000015259
197,3809,2013-2014,,A,59.5,S,FD,L2,False,False,False,59.5
198,3810,2014-2015,60.2999992371,S,,,FD,L2,False,True,False,60.2999992371
199,3812,2013-2014,,AA,,AA,FSEG,L2,True,False,False,42.0
200,3815,2013-2014,,ADM,60.7000007629,S,FSEG,L2,False,False,False,60.7000007629
201,3817,2012-2013,57.9000015259,S,,,FSEG,L2,False,True,False,57.9000015259
202,3820,2013-2014,,AA,,AA,FSEG,L2,True,False,False,42.0
203,3821,2013-2014,59.0,A,63.2999992371,S,FSEG,L2,False,False,False,63.2999992371
204,3827,2013-2014,,A,60.5,S,FSEG,L2,False,False,False,60.5
205,3832,2014-2015,,AA,54.0999984741,S,FSEG,L1,False,False,False,54.0999984741
206,3832,2015-2016,,A,56.7000007629,S,FSEG,L2,False,False,False,56.7000007629
207,3833,2013-2014,,AA,60.2000007629,S,FSEG,L2,False,False,False,60.2000007629
208,3835,2012-2013,59.0,S,,,FSEG,L2,False,True,False,59.0
209,3838,2012-2013,70.1999969482,D,,,FSEG,L2,False,True,True,70.1999969482
210,3849,2012-2013,63.0,S,,,FSEG,L2,False,True,False,63.0
211,3850,2012-2013,70.0999984741,D,,,FSEG,L2,False,True,True,70.0999984741
212,3854,2012-2013,67.5,S,,,FSEG,L2,False,True,False,67.5
213,3858,2013-2014,58.5999984741,A,62.5,S,FSEG,L2,False,False,False,62.5
214,3859,2012-2013,66.1999969482,S,,,FSEG,L2,False,True,False,66.1999969482
215,3862,2012-2013,63.2000007629,S,,,FSEG,L2,False,True,False,63.2000007629
216,3864,2012-2013,53.2999992371,A,58.5,S,FSEG,L2,False,False,False,58.5
217,3868,2013-2014,63.2999992371,S,,,FSEG,L2,False,True,False,63.2999992371
218,3874,2013-2014,,AA,,A,FSEG,L2,True,False,False,44.0
219,3876,2013-2014,,AA,59.2999992371,S,FSEG,L2,False,False,False,59.2999992371
220,3878,2012-2013,59.2999992371,S,,,FSEG,L2,False,True,False,59.2999992371
221,3881,2013-2014,,ADSTM,60.0,S,FSEG,L2,False,False,False,60.0
222,3883,2012-2013,70.5999984741,D,,,FSEG,L2,False,True,True,70.5999984741
223,3891,2012-2013,62.4000015259,S,,,FSEG,L2,False,True,False,62.4000015259
224,3892,2013-2014,,AA,,A,FSEG,L2,True,False,False,48.0
225,3894,2013-2014,,ADM,58.5999984741,S,FSEG,L2,False,False,False,58.5999984741
226,3895,2013-2014,,ADM,59.4000015259,S,FSEG,L2,False,False,False,59.4000015259
227,3902,2013-2014,,ADSTM,58.9000015259,S,FSEG,L2,False,False,False,58.9000015259
228,3907,2013-2014,,AA,48.5999984741,NAF,FSEG,L1,True,False,False,48.5999984741
229,3908,2013-2014,60.0,S,,,FSEG,G3,False,True,False,60.0
230,3908,2014-2015,55.5,A,66.9000015259,S,FSEG,L1,False,False,False,66.9000015259
231,3908,2015-2016,64.5,S,,,FSEG,L2,False,True,False,64.5
232,3909,2013-2014,,AA,,AA,FSEG,L1,True,False,False,46.0
233,3914,2013-2014,,AA,,,FSEG,G3,True,False,False,44.0
234,3914,2014-2015,,AA,57.7999992371,S,FSEG,L1,False,False,False,57.7999992371
235,3914,2015-2016,,AA,,AA,FSEG,L2,True,False,False,49.0
236,3915,2012-2013,62.5999984741,S,,,FSEG,L2,False,True,False,62.5999984741
237,3917,2013-2014,,AA,,AA,FSEG,G3,True,False,False,47.0
238,3918,2012-2013,55.5,S,,,FSEG,L2,False,True,False,55.5
239,3919,2013-2014,,AA,60.2999992371,S,FSEG,L2,False,False,False,60.2999992371
240,3920,2013-2014,,AA,59.7999992371,S,FSEG,L2,False,False,False,59.7999992371
241,3923,2012-2013,64.8000030518,S,,,FSEG,L2,False,True,False,64.8000030518
242,3930,2012-2013,63.9000015259,S,,,FSEG,L2,False,True,False,63.9000015259
243,3935,2013-2014,,AA,,A,FSDC,G3,True,False,False,40.0
244,3936,2013-2014,,A,,A,FSDC,L2,True,False,False,44.0
245,3944,2013-2014,,AA,63.7000007629,S,FSDC,L2,False,False,False,63.7000007629
246,3954,2012-2013,68.3000030518,S,,,FD,L2,False,True,False,68.3000030518
247,3963,2013-2014,,AA,63.0,S,FSDC,L2,False,False,False,63.0
248,3978,2013-2014,,AA,,S,FSDC,L2,False,False,False,55.0
249,3992,2012-2013,67.5,S,,,FSTA,TECH1,False,True,False,67.5
250,3992,2013-2014,,ADSTM,70.3000030518,D,FSTA,Tech2,False,False,True,70.3000030518
251,4012,2013-2014,,ADM,63.7000007629,S,FT,L2,False,False,False,63.7000007629
