,Unnamed: 0,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS,SCHOOL_CORRECT,SCHOOL_RIGHT,OPTION
427,427,SC,bc,edap/isp,inconnu,edap/isp,edap/isp,bio-chimie
428,428,SC,mp,majengo,inconnu,majengo,majengo,math-physique
429,429,SC,mp,majengo,inconnu,majengo,majengo,math-physique
430,430,SC,mp,ndahura,inconnu,ndahura,ndahura,math-physique
431,431,TECH,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
432,432,TEC,sociale,mont carmel,inconnu,mont carmel,mont caemel,sociale
433,433,LIT,lp,zanner,inconnu,zanner,zanner,latin philo
434,434,SC,mp,oicha,inconnu,oicha,oicha,math-physique
435,435,PED,pg,nyabushongo,inconnu,nyabushongo,nyabushongo,pedagogie
436,436,TEC,sociale,mikeno off,inconnu,mikeno off,mikeno isl,sociale
437,437,TEC,sociale,macha,inconnu,macha,macha,sociale
438,438,SC,bc,majengo,inconnu,majengo,majengo,bio-chimie
439,439,PED,pg,uaminifu,inconnu,uaminifu,uaminifu,pedagogie
440,440,PED,pg,inst kasuo,inconnu,kasuo,kasuo,pedagogie
441,441,PED,pg,auto,inconnu,auto,auto,pedagogie
442,442,PED,pg,chidasa,inconnu,chidasa,chidasa,pedagogie
443,443,SC,bc,metanoia,inconnu,metanoia,metanoia,bio-chimie
444,444,PED,pg,mabula,inconnu,mabula,mabula,pedagogie
445,445,PED,pg,cs seamen,inconnu,seamen,seamen,pedagogie
446,446,PED,pg,fadhili,inconnu,fadhili,fadhili,pedagogie
447,447,LIT,lp,zanner,inconnu,zanner,zanner,latin philo
448,448,Technique,sociale,matolu,inconnu,matolu,matolu,sociale
449,449,LITT,lp,mwanga,inconnu,mwanga,mwanga,latin philo
450,450,SC,bc,maranatha,inconnu,maranatha,maranatha,bio-chimie
451,451,LIT,lp,mwanga,inconnu,mwanga,mwanga,latin philo
452,452,PED,pg,lycee mwinda,inconnu,mwinda,lycee mwinda,pedagogie
453,453,PED,pg,metanoia,inconnu,metanoia,metanoia,pedagogie
454,454,SC,bc,kyeshero,inconnu,kyeshero,kyeshero,bio-chimie
455,455,LIT,lp,zanner,inconnu,zanner,zanner,latin philo
456,456,TECH,sociale,inst mont carmel,inconnu,mont carmel,mont caemel,sociale
457,457,TEC,soc,ilambula,inconnu,ilambula,ilambula,sociale
458,458,LITT,lp,zanner,inconnu,zanner,zanner,latin philo
459,459,TECH,ca,zanner,inconnu,zanner,zanner,commmerciale et adm
460,460,PED,pg,moria,inconnu,moria,moria,pedagogie
461,461,LIT,lp,maendeleo,inconnu,maendeleo,maendeleo,latin philo
462,462,TEC,sociale,kamusenda,inconnu,kamusenda,kashenda,sociale
463,463,PED,pg,kysehero,inconnu,kysehero,kyeshero,pedagogie
464,464,PED,pg,kyeshero,inconnu,kyeshero,kyeshero,pedagogie
465,465,TEC,ca,nuru,inconnu,nuru,uhuru,commmerciale et adm
466,466,SC,bc,de goma,inconnu,de goma,de goma,bio-chimie
467,467,PED,pg,tuadibishe,inconnu,tuadibishe,maadibisho,pedagogie
468,468,PED,pg,ihimbi,inconnu,ihimbi,himbi,pedagogie
469,469,SC,bc,lwanga,inconnu,lwanga,lwanga,bio-chimie
470,470,PED,pg,mont carmel,inconnu,mont carmel,mont caemel,pedagogie
471,471,TECH,sociale,mikeno/nc,inconnu,mikeno/nc,mikeno nc,sociale
472,472,PED,pg,cs losa,inconnu,losa,losa,pedagogie
473,473,PED,pg,de bagira,inconnu,de bagira,de bagira,pedagogie
474,474,PED,pg,ufamandu,inconnu,ufamandu,ufamandu,pedagogie
475,475,PED,pg,kashofu,inconnu,kashofu,kashofu,pedagogie
476,476,PED,pg,faraja,inconnu,faraja,faraja,pedagogie
477,477,LITT,lp,l mwandu,inconnu,l mwandu,l mwandu,latin philo
478,478,LIT,lp,bungulu,inconnu,bungulu,uhuru,latin philo
479,479,ELECTR,elec industr,itig,inconnu,itig,itig,elec indust
480,480,TECH,nutrition,lycee checmchem,inconnu,checmchem,chemchem,nutr
481,481,SC,bc,st paul,inconnu,st paul,saint paul,bio-chimie
482,482,SC,bc,bakanja,inconnu,bakanja,bakadja,bio-chimie
483,483,SC,bc,cs mama yetu,inconnu,mama yetu,mama yetu,bio-chimie
484,484,TEC,sociale,mugunga,inconnu,mugunga,mugunga,sociale
485,485,TEC,sociale,maendeleo,inconnu,maendeleo,maendeleo,sociale
486,486,TEC,ca,bakanja,inconnu,bakanja,bakadja,commmerciale et adm
487,487,SC,bc,inst de goma,inconnu,de goma,de goma,bio-chimie
488,488,SC,bc,instigo,inconnu,instigo,de goma,bio-chimie
489,489,SC,bc,bakanja,inconnu,bakanja,bakadja,bio-chimie
490,490,LIT,lp,kasali,inconnu,kasali,kasali,latin philo
491,491,TECH,sociale,beni,inconnu,beni,de beni,sociale
492,492,SC,bc,kyeshero,inconnu,kyeshero,kyeshero,bio-chimie
493,493,NUTRI,diet,lycee chemchem,inconnu,chemchem,chemchem,diet
494,494,TEC,sociale,mikeno isl,inconnu,mikeno isl,mikeno isl,sociale
495,495,PED,pg,kabishamage,inconnu,kabishamage,kishanga,pedagogie
496,496,TEC,nutri,l chemchem,inconnu,l chemchem,chemchem,nutr
497,497,TECH,nutrition,chemchem,inconnu,chemchem,chemchem,nutr
498,498,TEC,soc,bangu,inconnu,bangu,kalungu,sociale
499,499,PED,pg,8 mars,inconnu,8 mars,gs 8 mars,pedagogie
500,500,LITT,lp,ps tumaini letu,inconnu,ps tumaini letu,tumaini letu,latin philo
501,501,TEC µ,nutri,chemchem,inconnu,chemchem,chemchem,nutr
502,502,PED,pg,kanii kashua,inconnu,kanii kashua,nyakasaza,pedagogie
503,503,ped,pg,jiwe,inconnu,jiwe,jiwe,pedagogie
504,504,PED,pg,nyabibwe,inconnu,nyabibwe,nyabibwe,pedagogie
505,505,NUTRITION,diet,lycee chemchem,inconnu,chemchem,chemchem,diet
506,506,PED,pg,muludiki,inconnu,muludiki,muhini,pedagogie
507,507,TECH,sociale,kalangala,inconnu,kalangala,kalangala,sociale
508,508,SC,bc,kyeshero,inconnu,kyeshero,kyeshero,bio-chimie
509,509,PED,pg,kyeshero,inconnu,kyeshero,kyeshero,pedagogie
