,IDENTIFICATION,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,OPT,PROM
901,5033,2013-2014,66.5,S,,,FPSE,Psychologie / Psychologie clinique,L2
902,5034,2013-2014,60.0,S,,,FPSE,Psychologie / Psychologie clinique,L2
903,5035,2013-2014,64.0999984741,S,,,FPSE,Psychologie / Psychologie clinique,L2
904,5041,2013-2014,,A,63.0999984741,S,FD,Droit Public,L2
905,5042,2013-2014,,ADM,58.0999984741,S,FD,Droit Économique et Social,L2
906,5043,2012-2013,67.0,S,,,FD,Droit Public,G3
907,5043,2013-2014,,AA,54.5,S,FD,Droit Public,L1
908,5043,2014-2015,,A,67.6999969482,S,FD,Droit Public,L2
909,5047,2013-2014,,ADSTFC,68.6999969482,S,FD,Droit Public,L2
910,5048,2013-2014,,A,59.0999984741,S,FD,Droit Public,L2
911,5051,2012-2013,59.2999992371,S,,,FD,Droit Privé et Judiciaire,L1
912,5051,2013-2014,,AA,66.8000030518,S,FD,Droit Privé et Judiciaire,L2
913,5054,2013-2014,,AA,62.5999984741,S,FD,Droit Public,L2
914,5056,2012-2013,61.7000007629,S,,,FD,Droit Privé et Judiciaire,L1
915,5056,2013-2014,,ADM,67.5999984741,S,FD,Droit Privé et Judiciaire,L2
916,5059,2013-2014,63.7999992371,S,,,FD,Droit Économique et Social,L2
917,5069,2013-2014,,ADST,67.0999984741,S,FSEG,Gestion Financière,L2
918,5072,2013-2014,,AA,63.2999992371,S,FPSE,Psychologie / Psychologie clinique,L2
919,5073,2013-2014,65.5999984741,S,,,FPSE,Psychologie / Psychologie clinique,L2
920,5074,2013-2014,,ADSTM,,ADSTM,FPSE,Psychologie / Psychologie clinique,L2
921,5079,2013-2014,,A,66.5,S,FPSE,Sciences de l'Éducation,L2
922,5088,2012-2013,70.1999969482,D,,,FPSE,Sciences de l'Éducation,L1Soir
923,5088,2013-2014,72.0,D,,,FPSE,Sciences de l'Éducation,L2
924,5089,2013-2014,,A,65.9000015259,S,FPSE,Sciences de l'Éducation,L2
925,5094,2013-2014,66.6999969482,S,,,FPSE,Psychologie / Psychologie clinique,L2
926,5097,2013-2014,,A,,ADST,FPSE,Psychologie / Psychologie clinique,L2
927,5098,2013-2014,,AA,,AA,FPSE,Sciences de l'Éducation,L1
928,5098,2015-2016,57.2999992371,S,,,FPSE,Sciences de l'Éducation,L1
929,5100,2013-2014,,AA,56.5999984741,S,FPSE,Sciences de l'Éducation,G2
930,5100,2014-2015,,AA,61.4000015259,S,FPSE,Sciences de l'Éducation,G3
931,5105,2013-2014,71.6999969482,D,,,FPSE,Psychologie / Psychologie clinique,L2
932,5107,2012-2013,65.0,S,,,FSDC,Santé et Développement Communautaires,L2
933,5110,2015-2016,,ADTFC,61.5999984741,S,FSDC,Tronc commun,G3
934,5114,2013-2014,70.1999969482,D,,,FSEG,Gestion Financière,L2
935,5115,2013-2014,,A,62.5999984741,S,FSEG,Gestion des Entreprises,L2
936,5116,2013-2014,,AA,55.0999984741,NAF,FSDC,Gestion et Administration des Projets de Santé,L1
937,5120,2013-2014,,AA,61.0,S,FSEG,Gestion Financière,L2
938,5123,2013-2014,,AA,61.4000015259,S,FPSE,Psychologie / Psychologie clinique,G3
939,5123,2014-2015,63.0999984741,S,,,FPSE,Psychologie / Psychologie clinique,L1
940,5123,2015-2016,71.3000030518,D,,,FPSE,Psychologie du Travail,L2
941,5126,2012-2013,62.7000007629,S,,,FT,Tronc commun,L1
942,5126,2013-2014,,ADM,63.7999992371,S,FT,Tronc commun,L2
943,5129,2012-2013,76.5,D,,,FD,Droit Économique et Social,L2
944,5130,2012-2013,64.6999969482,S,,,FD,Droit Public,L2
945,5132,2012-2013,73.1999969482,D,,,FD,Droit Privé et Judiciaire,L2
946,5138,2013-2014,,AA,61.0999984741,S,FD,Droit Public,L2
947,5145,2013-2014,,AA,,A,FSTA,Génie Civil,Tech2
948,5156,2013-2014,,AA,53.7000007629,S,FSEG,Économie Monétaire,L1
949,5156,2014-2015,,AA,61.2000007629,S,FSEG,Économie Monétaire,L2
950,5159,2012-2013,56.2999992371,S,,,FPSE,Sciences de l'Éducation,G2
951,5159,2013-2014,,AA,65.3000030518,S,FPSE,Sciences de l'Éducation,G3
952,5159,2014-2015,59.7000007629,S,,,FPSE,Sciences de l'Éducation,L1
953,5159,2015-2016,,AA,65.5,S,FPSE,Sciences de l'Éducation,L2
954,5163,2013-2014,,AA,60.4000015259,S,FSDC,Gestion et Administration des Projets de Santé,L2
955,5167,2013-2014,,AA,63.2999992371,S,FSDC,Santé et Développement Communautaires,L1
956,5167,2014-2015,66.8000030518,S,,,FSDC,Santé et Développement Communautaires,L2
957,5170,2013-2014,,AA,,A,FSDC,Gestion et Administration des Projets de Santé,L2
958,5170,2015-2016,,AA,59.4000015259,S,FSDC,Gestion et Administration des Projets de Santé,L2
959,5175,2012-2013,59.4000015259,S,,,FD,Droit Économique et Social,G3
960,5175,2013-2014,,AA,57.2999992371,S,FD,Droit Économique et Social,L1
961,5175,2014-2015,,AA,61.7000007629,S,FD,Droit Économique et Social,L2
962,5177,2012-2013,63.2000007629,S,,,FSEG,Gestion des Entreprises,L2
963,5178,2013-2014,70.6999969482,D,,,FT,Tronc commun,G3
964,5178,2014-2015,,AA,70.9000015259,D,FT,Tronc commun,L1
965,5178,2015-2016,73.0,D,,,FT,Tronc commun,L2
966,5179,2013-2014,,AA,64.5999984741,S,FSTA,Génie Civil,Tech1
967,5179,2014-2015,,AA,65.5,S,FSTA,Génie Civil,Tech2
968,5182,2012-2013,65.4000015259,S,,,FSDC,Santé et Développement Communautaires,L2
969,5183,2012-2013,61.9000015259,S,,,FSDC,Santé et Développement Communautaires,L2
970,5184,2012-2013,58.4000015259,S,,,FSDC,Santé et Développement Communautaires,L2
971,5192,2012-2013,,ADM,,,FPSE,Psychologie / Psychologie clinique,L2
972,5193,2012-2013,72.3000030518,D,,,FT,Tronc commun,L1Soir
973,5193,2013-2014,70.0,D,,,FT,Tronc commun,L2
974,5196,2014-2015,,AA,,AA,FSTA,Génie Civil,G2
975,5198,2013-2014,,AA,68.4000015259,S,FSTA,Génie Civil,Tech1
976,5198,2014-2015,,AA,60.9000015259,S,FSTA,Génie Civil,Tech2
977,5204,2013-2014,,AA,,AA,FSTA,Génie Civil,Tech1
978,5205,2012-2013,69.0,S,,,FSTA,Génie Civil,TECH1
979,5205,2013-2014,,ADSTM,68.0,S,FSTA,Génie Civil,Tech2
980,5208,2013-2014,,AA,63.4000015259,S,FT,Tronc commun,L1
981,5208,2014-2015,72.3000030518,D,,,FT,Tronc commun,L2
982,5212,2013-2014,,AA,56.7999992371,A,FSDC,Santé Environnementale,L2
983,5214,2013-2014,,AA,61.2999992371,S,FSDC,Santé et Développement Communautaires,L2
984,5215,2013-2014,,AA,,A,FD,Droit Public,L2
985,5216,2013-2014,,AA,57.0,S,FSDC,Gestion et Administration des Projets de Santé,L2
986,5217,2012-2013,65.6999969482,S,,,FT,Tronc commun,L1
987,5217,2013-2014,,ADM,67.5,S,FT,Tronc commun,L2
988,5218,2013-2014,,AA,49.5999984741,NAF,FSDC,Santé Environnementale,L1
989,5227,2013-2014,,AA,56.2000007629,S,FSEG,Gestion Financière,L2
990,5229,2013-2014,,AA,68.9000015259,S,FT,Tronc commun,L2
991,5240,2012-2013,67.8000030518,S,,,FSEG,Gestion des Entreprises,L2
992,5354,2013-2014,,AA,,A,FSDC,Santé Environnementale,L2
993,5395,2013-2014,,AA,,AA,FSTA,Génie Civil,G2
994,5644,2012-2013,66.5,S,,,FD,Droit Public,G3
995,5644,2013-2014,,AA,,A,FD,Droit Public,L1
996,5647,2012-2013,66.5,S,,,FSEG,Tronc commun,G3
997,5647,2013-2014,50.7000007629,A,60.5,S,FSEG,Gestion des Entreprises,L1
998,5647,2014-2015,,ADM,59.0,S,FSEG,Gestion des Entreprises,L2
999,5649,2013-2014,,AA,54.5,S,FSTA,Génie Civil,G2
1000,5649,2014-2015,,AA,57.7999992371,A,FSTA,Génie Civil,G3
1001,5649,2015-2016,,AA,62.0999984741,S,FSTA,Génie Civil,G3
1002,5651,2013-2014,,AA,60.4000015259,S,FSDC,Gestion et Administration des Projets de Santé,L1
1003,5651,2014-2015,,AA,,AA,FSDC,Gestion et Administration des Projets de Santé,L2
1004,5652,2013-2014,,AA,54.5,S,FSEG,Tronc commun,G3
1005,5653,2013-2014,,AA,,A,FSDC,Santé Communautaire,L1
1006,5654,2013-2014,,ADSTM,,ADST,FD,Droit Privé et Judiciaire,L2
1007,5656,2013-2014,63.0,S,,,FSEG,Gestion Financière,L1
1008,5656,2014-2015,,ADM,67.8000030518,S,FSEG,Gestion Financière,L2
1009,5658,2013-2014,45.0999984741,A,57.7999992371,S,FSEG,Gestion des Entreprises,L1
1010,5658,2014-2015,,AA,59.5,S,FSEG,Gestion des Entreprises,L2
1011,5659,2013-2014,,AA,60.7000007629,S,FSEG,Gestion Financière,L1
1012,5659,2014-2015,59.7999992371,S,,,FSEG,Gestion Financière,L2
1013,5660,2013-2014,,AA,57.9000015259,S,FSEG,Tronc commun,G3
1014,5660,2014-2015,,AA,46.0,A,FSEG,Marketing,L1
1015,5660,2015-2016,50.0,A,56.2000007629,S,FSEG,Marketing,L1
1016,5662,2012-2013,67.0,S,,,FPSE,Tronc commun,G3
1017,5662,2013-2014,58.5,A,69.1999969482,S,FPSE,Sciences de l'Éducation,L1
1018,5662,2014-2015,71.8000030518,D,,,FPSE,Sciences de l'Éducation,L2
1019,5667,2013-2014,,AA,62.5,S,FSDC,Gestion et Administration des Projets de Santé,L1
1020,5667,2014-2015,,AA,62.7000007629,S,FSDC,Gestion et Administration des Projets de Santé,L2
1021,5668,2013-2014,57.2999992371,A,64.3000030518,S,FSDC,Santé Environnementale,L1
1022,5668,2014-2015,,AA,61.7000007629,S,FSDC,Santé Environnementale,L2
1023,5670,2012-2013,59.9000015259,S,,,FD,Tronc commun,G2
1024,5670,2013-2014,,AA,60.7000007629,S,FD,Droit Économique et Social,G3
1025,5670,2014-2015,,AA,56.4000015259,S,FD,Droit Économique et Social,L1
1026,5670,2015-2016,,AA,59.7999992371,S,FD,Droit Économique et Social,L2
1027,5671,2013-2014,,AA,54.7000007629,S,FSEG,Gestion des Entreprises,L1
1028,5671,2014-2015,,A,55.7999992371,S,FSEG,Gestion des Entreprises,L2
1029,5672,2013-2014,48.7000007629,A,54.2999992371,A,FSDC,Santé Communautaire,L1
1030,5674,2012-2013,62.2000007629,S,,,FSEG,Tronc commun,G3
1031,5674,2013-2014,61.2999992371,S,,,FSEG,Gestion Financière,L1
1032,5674,2014-2015,63.5,S,,,FSEG,Gestion Financière,L2
1033,5678,2013-2014,,AA,59.2000007629,S,FSTA,Génie Civil,G3
1034,5678,2014-2015,,AA,66.9000015259,S,FSTA,Génie Civil,Tech1
1035,5678,2015-2016,,AA,,ADM,FSTA,Génie Civil,Tech2
1036,5680,2013-2014,,A,,A,FSDC,Santé et Développement Communautaires,L1
1037,5681,2012-2013,64.8000030518,S,,,FD,Tronc commun,G2
1038,5681,2013-2014,,AA,,A,FD,Droit Économique et Social,G3
1039,5682,2013-2014,,AA,57.2999992371,S,FSDC,Gestion et Administration des Projets de Santé,L1
1040,5682,2014-2015,,AA,59.7000007629,S,FSDC,Gestion et Administration des Projets de Santé,L2
1041,5683,2013-2014,50.0,A,59.7000007629,S,FSEG,Gestion Financière,L1
1042,5683,2014-2015,,AA,61.0999984741,S,FSEG,Gestion Financière,L2
1043,5688,2013-2014,,AA,54.9000015259,A,FSDC,Gestion et Administration des Projets de Santé,L1
1044,5688,2014-2015,,AA,59.2999992371,S,FSDC,Santé Environnementale,L1
1045,5688,2015-2016,,A,62.4000015259,S,FSDC,Santé Environnementale,L2
1046,5691,2013-2014,,AA,60.5999984741,S,FSTA,Génie Civil,G3
1047,5691,2014-2015,,AA,62.7000007629,S,FSTA,Génie Civil,Tech1
1048,5691,2015-2016,,ADSTM,,ADSTM,FSTA,Génie Civil,Tech2
1049,5692,2013-2014,47.5999984741,A,55.5,S,FSEG,Gestion des Entreprises,L1
1050,5692,2014-2015,58.9000015259,A,62.5,S,FSEG,Gestion des Entreprises,L2
1051,5695,2012-2013,61.0,S,,,FPSE,Tronc commun,G3
1052,5695,2013-2014,61.0,S,,,FPSE,Sciences de l'Éducation,L1
1053,5695,2014-2015,,ADSTM,62.0,S,FPSE,Sciences de l'Éducation,L2
1054,5696,2013-2014,,AA,61.4000015259,S,FSDC,Santé Communautaire,L1
1055,5696,2014-2015,,A,63.0999984741,S,FSDC,Santé Communautaire,L2
1056,5698,2013-2014,55.4000015259,A,62.5999984741,S,FSEG,Gestion des Entreprises,L1
1057,5698,2014-2015,58.9000015259,S,,,FSEG,Gestion des Entreprises,L2
1058,5700,2013-2014,62.4000015259,S,,,FSDC,Santé et Développement Communautaires,L2
1059,5701,2013-2014,,AA,57.0,S,FSEG,Gestion des Entreprises,L1
1060,5701,2014-2015,,A,59.5,S,FSEG,Gestion des Entreprises,L2
1061,5703,2013-2014,56.0999984741,A,60.4000015259,S,FSDC,Santé Environnementale,L1
1062,5703,2014-2015,,AA,63.0999984741,S,FSDC,Santé Environnementale,L2
1063,5704,2013-2014,60.7000007629,S,,,FSEG,Gestion Financière,L1
1064,5704,2014-2015,,AA,68.0999984741,S,FSEG,Gestion Financière,L2
1065,5705,2013-2014,,AA,57.2000007629,S,FD,Droit Économique et Social,L1
1066,5705,2014-2015,,A,57.4000015259,S,FD,Droit Économique et Social,L2
1067,5710,2012-2013,65.0,S,,,FSEG,Tronc commun,G3
1068,5710,2013-2014,56.0,A,58.4000015259,S,FSEG,Gestion Financière,L1
1069,5710,2014-2015,61.9000015259,A,65.0999984741,S,FSEG,Gestion Financière,L2
1070,5714,2013-2014,,AA,55.5999984741,S,FD,Droit Économique et Social,L1
1071,5714,2014-2015,,A,60.5999984741,S,FD,Droit Économique et Social,L2
1072,5718,2013-2014,54.2000007629,A,58.5,S,FSEG,Gestion Financière,L1
1073,5718,2014-2015,,AA,64.5,S,FSEG,Gestion Financière,L2
1074,5719,2014-2015,47.0999984741,A,54.0,S,FD,Tronc commun,G2
1075,5720,2012-2013,66.8000030518,S,,,FD,Droit Privé et Judiciaire,G3
1076,5720,2013-2014,68.3000030518,S,,,FD,Droit Privé et Judiciaire,L1
1077,5720,2014-2015,71.9000015259,D,,,FD,Droit Privé et Judiciaire,L2
1078,5721,2013-2014,,AA,56.9000015259,S,FD,Droit Privé et Judiciaire,L1
1079,5721,2014-2015,,AA,64.6999969482,S,FD,Droit Privé et Judiciaire,L2
1080,5724,2013-2014,,AA,70.3000030518,D,FSTA,Génie Civil,G3
1081,5724,2014-2015,,AA,70.0,D,FSTA,Génie Civil,Tech1
1082,5724,2015-2016,,AA,,AA,FSTA,Génie Civil,Tech2
1083,5731,2012-2013,66.0,S,,,FPSE,Tronc commun,G3
1084,5731,2013-2014,57.0,A,62.9000015259,S,FPSE,Sciences de l'Éducation,L1
1085,5731,2014-2015,,AA,64.4000015259,S,FPSE,Sciences de l'Éducation,L2
1086,5737,2013-2014,,AA,65.8000030518,S,FPSE,Sciences de l'Éducation,L1
1087,5737,2014-2015,,ADST,59.9000015259,S,FPSE,Sciences de l'Éducation,L2
1088,5739,2013-2014,,AA,57.0,S,FSEG,Gestion Financière,L1
1089,5739,2014-2015,,AA,56.0,S,FSEG,Gestion Financière,L2
1090,5740,2012-2013,61.5999984741,S,,,FSEG,Tronc commun,G3
1091,5740,2013-2014,,AA,64.0999984741,S,FSEG,Gestion Financière,L1
1092,5740,2014-2015,68.8000030518,S,,,FSEG,Gestion Financière,L2
1093,5743,2013-2014,,AA,61.5,S,FSTA,Génie Civil,G3
1094,5743,2014-2015,,AA,65.8000030518,S,FSTA,Génie Civil,Tech1
1095,5743,2015-2016,,AA,,AA,FSTA,Génie Civil,Tech2
1096,5745,2013-2014,,AA,,AA,FSTA,Génie Civil,G2
1097,5746,2012-2013,70.1999969482,D,,,FT,Tronc commun,G3
1098,5746,2013-2014,64.3000030518,S,,,FT,Tronc commun,L1
1099,5746,2014-2015,73.3000030518,D,,,FT,Tronc commun,L2
1100,5747,2012-2013,68.0999984741,D,,,FT,Tronc commun,G3
1101,5747,2013-2014,67.5999984741,S,,,FT,Tronc commun,L1
1102,5747,2014-2015,70.5,D,,,FT,Tronc commun,L2
1103,5748,2013-2014,59.2999992371,A,,AA,FSEG,Tronc commun,G3
1104,5749,2012-2013,72.3000030518,D,,,FD,Droit Public,G3
1105,5749,2013-2014,67.6999969482,S,,,FD,Droit Public,L1
1106,5749,2014-2015,67.5,S,,,FD,Droit Public,L2
1107,5750,2013-2014,51.7999992371,A,56.7000007629,S,FSEG,Gestion Financière,L1
1108,5750,2014-2015,53.7999992371,A,58.7000007629,S,FSEG,Gestion Financière,L2
1109,5753,2012-2013,67.3000030518,S,,,FSDC,Gestion et Administration des Projets de Santé,L1
1110,5753,2013-2014,,ADM,67.5,S,FSDC,Santé et Développement Communautaires,L2
1111,5753,2014-2015,,AA,,,FSDC,Santé et Développement Communautaires,L2
1112,5754,2013-2014,53.7999992371,A,58.7000007629,S,FSEG,Gestion Financière,L1
1113,5754,2014-2015,,A,61.2000007629,S,FSEG,Gestion Financière,L2
1114,5756,2013-2014,53.7999992371,A,58.7999992371,S,FSEG,Gestion Financière,L1
1115,5756,2014-2015,,A,64.8000030518,S,FSEG,Gestion Financière,L2
1116,5758,2012-2013,73.5999984741,D,,,FT,Tronc commun,L1
1117,5758,2013-2014,71.1999969482,D,,,FT,Tronc commun,L2
1118,5767,2013-2014,,AA,64.1999969482,S,FD,Droit Privé et Judiciaire,L1
1119,5767,2014-2015,,AA,68.0,S,FD,Droit Privé et Judiciaire,L2
1120,5770,2013-2014,,ADM,63.7999992371,S,FT,Tronc commun,L2
1121,5776,2013-2014,,AA,,ADM,FT,Tronc commun,L2
1122,5776,2014-2015,,ADM,64.1999969482,S,FT,Tronc commun,L2
1123,5778,2012-2013,66.0999984741,S,,,FSEG,Économie Monétaire,L2
1124,5822,2012-2013,66.1999969482,S,,,FSEG,Économie Monétaire,L1
1125,5822,2013-2014,70.0999984741,D,,,FSEG,Économie Monétaire,L2
1126,5850,2013-2014,,AA,61.0,S,FSDC,Gestion et Administration des Projets de Santé,L2
1127,5918,2013-2014,,AA,64.4000015259,S,FD,Droit Public,L2
1128,6044,2015-2016,70.5,D,,,FSDC,Gestion et Administration des Projets de Santé,L1
1129,6074,2013-2014,59.7000007629,S,,,FSEG,Gestion Financière,L2
1130,6134,2013-2014,41.2999992371,AA,48.5999984741,A,FD,Droit Privé et Judiciaire,G3
1131,6134,2014-2015,55.0999984741,A,55.0999984741,S,FD,Droit Privé et Judiciaire,G3
1132,6134,2015-2016,,AA,47.0,A,FD,Droit Privé et Judiciaire,L1
1133,6135,2013-2014,50.5999984741,A,55.2000007629,S,FSEG,Économie Monétaire,L1
1134,6135,2014-2015,58.2999992371,A,60.5,S,FSEG,Économie Monétaire,L2
1135,6136,2014-2015,,AA,58.5999984741,S,FSEG,Tronc commun,G3
1136,6138,2013-2014,,AA,54.7999992371,S,FSEG,Microfinance et Banque,L1
1137,6138,2014-2015,,AA,57.2999992371,S,FSEG,Microfinance et Banque,L2
1138,6140,2013-2014,49.7999992371,A,58.5999984741,S,FSEG,Gestion des Entreprises,L1
1139,6140,2014-2015,53.2000007629,A,59.5999984741,S,FSEG,Gestion des Entreprises,L2
1140,6141,2012-2013,61.0999984741,S,,,FSEG,Tronc commun,G3
1141,6141,2013-2014,58.4000015259,S,,,FSEG,Économie Industrielle,L1
1142,6141,2014-2015,60.7000007629,S,,,FSEG,Économie Industrielle,L2
1143,6144,2013-2014,53.9000015259,A,58.7999992371,S,FSEG,Gestion des Entreprises,L1
1144,6144,2014-2015,,AA,60.7000007629,S,FSEG,Gestion des Entreprises,L2
1145,6145,2013-2014,,AA,57.0999984741,S,FSEG,Tronc commun,G3
1146,6145,2014-2015,,AA,50.7999992371,A,FSEG,Marketing,L1
1147,6145,2015-2016,,AA,56.0,S,FSEG,Marketing,L1
1148,6149,2013-2014,53.5,A,61.5,S,FSEG,Gestion des Entreprises,L1
1149,6149,2014-2015,,ADSTM,58.7999992371,S,FSEG,Gestion des Entreprises,L2
1150,6150,2013-2014,56.7000007629,S,,,FSEG,Gestion des Entreprises,L1
1151,6150,2014-2015,,A,64.0999984741,S,FSEG,Gestion des Entreprises,L2
1152,6151,2013-2014,,AA,59.7999992371,S,FSEG,Gestion Financière,L1
1153,6151,2014-2015,,A,63.5,S,FSEG,Gestion Financière,L2
1154,6153,2013-2014,,AA,56.7000007629,S,FSEG,Gestion Financière,L1
1155,6153,2014-2015,52.7999992371,A,57.7000007629,S,FSEG,Gestion Financière,L2
1156,6155,2013-2014,,AA,,AA,FSEG,Gestion des Entreprises,L1
1157,6157,2013-2014,,AA,59.5999984741,S,FSEG,Gestion des Entreprises,L1
1158,6157,2014-2015,,AA,59.7999992371,S,FSEG,Gestion des Entreprises,L2
1159,6159,2013-2014,,AA,56.7000007629,S,FSEG,Tronc commun,G3
1160,6161,2013-2014,,AA,55.5,S,FSEG,Gestion des Entreprises,L1
1161,6161,2014-2015,,AA,60.0,S,FSEG,Gestion des Entreprises,L2
1162,6165,2013-2014,,AA,,AA,FSEG,Gestion des Entreprises,L1
1163,6166,2013-2014,,AA,,AA,FSEG,Gestion des Entreprises,L1
1164,6170,2013-2014,,AA,57.7000007629,S,FSEG,Gestion des Entreprises,L1
1165,6170,2014-2015,,A,61.5,S,FSEG,Gestion des Entreprises,L2
1166,6171,2013-2014,,AA,55.7000007629,S,FSEG,Économie Monétaire,L1
1167,6171,2014-2015,,A,60.0999984741,S,FSEG,Économie Monétaire,L2
1168,6172,2013-2014,54.2000007629,A,59.4000015259,S,FSEG,Tronc commun,G3
1169,6172,2014-2015,,AA,55.2999992371,S,FSEG,Gestion des Entreprises,L1
1170,6172,2015-2016,53.0999984741,A,59.2000007629,S,FSEG,Gestion des Entreprises,L2
1171,6176,2013-2014,,AA,54.2999992371,S,FSEG,Gestion Financière,L1
1172,6176,2014-2015,56.2000007629,A,59.4000015259,S,FSEG,Gestion Financière,L2
1173,6178,2013-2014,,AA,,AA,FSEG,Gestion des Entreprises,L1
1174,6182,2013-2014,,AA,62.0999984741,S,FSTA,Génie Électrique,G3
1175,6182,2014-2015,,AA,72.0,D,FSTA,Génie Informatique,Tech1
1176,6182,2015-2016,,ADSTM,,ADSTM,FSTA,Génie Informatique,Tech2
1177,6183,2013-2014,,AA,66.8000030518,S,FSTA,Génie Informatique,G3
1178,6183,2014-2015,,AA,67.0999984741,S,FSTA,Génie Informatique,Tech1
1179,6183,2015-2016,,ADSTM,,ADM,FSTA,Génie Informatique,Tech2
1180,6184,2013-2014,,AA,57.7999992371,S,FSEG,Tronc commun,G3
1181,6184,2014-2015,,AA,52.5999984741,S,FSEG,Économie Monétaire,L1
1182,6184,2015-2016,,ADSTM,57.2999992371,S,FSEG,Économie Monétaire,L2
1183,6195,2013-2014,,AA,47.4000015259,A,FSTA,Génie Civil,G2
1184,6195,2014-2015,,AA,,AA,FSTA,Génie Civil,G2
1185,6196,2013-2014,,AA,69.3000030518,S,FSTA,Génie Civil,G3
1186,6196,2014-2015,,AA,67.8000030518,S,FSTA,Génie Civil,Tech1
1187,6196,2015-2016,,ADM,,ADM,FSTA,Génie Civil,Tech2
1188,6204,2013-2014,,A,64.0,S,FD,Droit Privé et Judiciaire,L2
1189,6207,2013-2014,,AA,49.7000007629,A,FSEG,Gestion des Entreprises,L1
1190,6208,2013-2014,,AA,56.0999984741,S,FSEG,Économie Industrielle,L1
1191,6208,2014-2015,,AA,57.2000007629,S,FSEG,Économie Industrielle,L2
1192,6209,2013-2014,,AA,59.9000015259,S,FSEG,Gestion Financière,L1
1193,6209,2014-2015,,A,63.5,S,FSEG,Gestion Financière,L2
1194,6213,2013-2014,58.7000007629,A,61.5,S,FSDC,Santé Communautaire,L1
1195,6213,2014-2015,,AA,61.4000015259,S,FSDC,Santé Communautaire,L2
1196,6214,2013-2014,,AA,64.5,S,FSTA,Génie Civil,G3
1197,6214,2014-2015,68.4000015259,S,,,FSTA,Génie Civil,Tech1
1198,6214,2015-2016,,ADSTM,,ADM,FSTA,Génie Civil,Tech2
1199,6215,2013-2014,,AA,,A,FSTA,Génie Civil,G3
1200,6217,2013-2014,,AA,66.0999984741,S,FSTA,Génie Civil,G3
1201,6217,2014-2015,,AA,67.3000030518,S,FSTA,Génie Civil,Tech1
1202,6217,2015-2016,,ADSTM,,ADM,FSTA,Génie Civil,Tech2
1203,6219,2013-2014,51.2000007629,A,58.0999984741,S,FSEG,Gestion Financière,L1
1204,6219,2014-2015,58.4000015259,A,62.7000007629,S,FSEG,Gestion Financière,L2
1205,6220,2013-2014,48.5999984741,A,57.4000015259,S,FSEG,Gestion des Entreprises,L1
1206,6220,2014-2015,,AA,63.7999992371,S,FSEG,Gestion des Entreprises,L2
1207,6221,2013-2014,,AA,56.4000015259,S,FSEG,Microfinance et Banque,L1
1208,6221,2014-2015,57.7999992371,A,60.9000015259,S,FSEG,Microfinance et Banque,L2
1209,6223,2013-2014,55.0999984741,A,60.4000015259,S,FSEG,Microfinance et Banque,L1
1210,6223,2014-2015,,ADM,61.9000015259,S,FSEG,Microfinance et Banque,L2
1211,6227,2013-2014,,AA,60.0999984741,S,FSEG,Gestion Financière,L1
1212,6227,2014-2015,59.7999992371,A,62.7999992371,S,FSEG,Gestion Financière,L2
1213,6228,2013-2014,53.0999984741,A,58.4000015259,S,FSEG,Gestion Financière,L1
1214,6228,2014-2015,,A,62.2000007629,S,FSEG,Gestion Financière,L2
1215,6230,2012-2013,,AA,55.4000015259,S,FSEG,Tronc commun,G2
1216,6230,2013-2014,,AA,58.0,S,FSEG,Tronc commun,G3
1217,6232,2013-2014,,AA,57.7000007629,S,FSEG,Tronc commun,G2
1218,6232,2014-2015,,AA,59.4000015259,S,FSEG,Tronc commun,G3
1219,6233,2013-2014,,AA,56.5999984741,S,FSEG,Gestion des Entreprises,L1
1220,6233,2014-2015,,AA,58.5,S,FSEG,Gestion des Entreprises,L2
1221,6235,2013-2014,,AA,62.5,S,FSEG,Gestion Financière,L1
1222,6235,2014-2015,,AA,58.5,S,FSEG,Gestion Financière,L2
1223,6236,2013-2014,,AA,58.0,S,FSEG,Gestion Financière,L1
1224,6236,2014-2015,,AA,59.9000015259,S,FSEG,Gestion Financière,L2
1225,6239,2013-2014,,AA,57.2000007629,S,FSEG,Gestion des Entreprises,L1
1226,6239,2014-2015,,AA,61.4000015259,S,FSEG,Gestion des Entreprises,L2
1227,6241,2013-2014,,AA,52.5,A,FSEG,Gestion des Entreprises,L1
1228,6242,2013-2014,61.7000007629,AA,62.2000007629,S,FD,Droit Économique et Social,L1
1229,6242,2014-2015,66.5999984741,S,,,FD,Droit Économique et Social,L2
1230,6243,2013-2014,57.7000007629,AA,61.0,S,FD,Droit Public,L1
1231,6243,2014-2015,61.0999984741,S,,,FD,Droit Public,L2
1232,6244,2012-2013,69.4000015259,S,,,FD,Droit Privé et Judiciaire,G3
1233,6244,2013-2014,,AA,58.5,S,FD,Droit Privé et Judiciaire,L1
1234,6244,2014-2015,,AA,66.1999969482,S,FD,Droit Privé et Judiciaire,L2
1235,6246,2013-2014,50.4000015259,A,55.7999992371,S,FSEG,Économie Industrielle,L1
1236,6246,2014-2015,,A,60.4000015259,S,FSEG,Économie Industrielle,L2
1237,6247,2013-2014,,A,59.7000007629,S,FSTA,Génie Civil,G3
1238,6247,2014-2015,61.4000015259,S,,,FSTA,Génie Civil,Tech1
1239,6247,2015-2016,,AA,,ADM,FSTA,Génie Civil,Tech2
