,ID,CGPA,DistinctionRatio,EchecRatio,NACADYEAR,Pass1stSessionRatio
116,3691,64.3000011445,0.0,0.0,2.0,0.0
117,3708,58.0,0.0,0.0,1.0,0.0
118,3711,68.7999979655,0.333333333333,0.0,3.0,0.666666666667
119,3712,63.5,0.0,0.0,1.0,0.0
120,3716,60.2999992371,0.0,0.0,1.0,1.0
121,3718,56.7999992371,0.0,0.0,1.0,1.0
122,3723,62.5,0.0,0.0,1.0,1.0
123,3727,57.5999984741,0.0,0.0,1.0,0.0
124,3730,62.0,0.0,0.0,1.0,1.0
125,3731,67.7333348592,0.0,0.0,3.0,1.0
126,3734,61.7999992371,0.0,0.0,1.0,0.0
127,3736,64.6999969482,0.0,0.0,1.0,1.0
128,3737,64.8000030518,0.0,0.0,1.0,1.0
129,3747,61.7999992371,0.0,0.0,1.0,0.0
130,3755,54.5333328247,0.0,0.333333333333,3.0,0.0
131,3756,57.0999984741,0.0,0.0,1.0,0.0
132,3760,68.25,0.5,0.0,2.0,0.5
133,3761,64.8000030518,0.0,0.0,1.0,1.0
134,3770,62.0999984741,0.0,0.0,1.0,0.0
135,3776,70.0999984741,1.0,0.0,1.0,1.0
136,3779,61.0999984741,0.0,0.0,1.0,1.0
137,3789,66.5999984741,0.0,0.0,1.0,1.0
138,3791,65.3000030518,0.0,0.0,1.0,0.0
139,3792,66.0,0.0,0.0,1.0,1.0
140,3803,60.6499996185,0.0,0.0,2.0,0.0
141,3804,65.9000015259,0.0,0.0,1.0,0.0
142,3809,59.5,0.0,0.0,1.0,0.0
143,3810,60.2999992371,0.0,0.0,1.0,1.0
144,3812,49.0,0.0,1.0,1.0,0.0
145,3815,60.7000007629,0.0,0.0,1.0,0.0
146,3817,57.9000015259,0.0,0.0,1.0,1.0
147,3820,49.25,0.0,1.0,1.0,0.0
148,3821,63.2999992371,0.0,0.0,1.0,0.0
149,3827,60.5,0.0,0.0,1.0,0.0
150,3832,55.3999996185,0.0,0.0,2.0,0.0
151,3833,60.2000007629,0.0,0.0,1.0,0.0
152,3835,59.0,0.0,0.0,1.0,1.0
153,3838,70.1999969482,1.0,0.0,1.0,1.0
154,3849,63.0,0.0,0.0,1.0,1.0
155,3850,70.0999984741,1.0,0.0,1.0,1.0
156,3854,67.5,0.0,0.0,1.0,1.0
157,3858,62.5,0.0,0.0,1.0,0.0
158,3859,66.1999969482,0.0,0.0,1.0,1.0
159,3862,63.2000007629,0.0,0.0,1.0,1.0
160,3864,58.5,0.0,0.0,1.0,0.0
161,3868,63.2999992371,0.0,0.0,1.0,1.0
162,3874,47.75,0.0,1.0,1.0,0.0
163,3876,59.2999992371,0.0,0.0,1.0,0.0
164,3878,59.2999992371,0.0,0.0,1.0,1.0
165,3881,60.0,0.0,0.0,1.0,0.0
166,3883,70.5999984741,1.0,0.0,1.0,1.0
167,3891,62.4000015259,0.0,0.0,1.0,1.0
168,3892,48.5,0.0,1.0,1.0,0.0
169,3894,58.5999984741,0.0,0.0,1.0,0.0
170,3895,59.4000015259,0.0,0.0,1.0,0.0
171,3902,58.9000015259,0.0,0.0,1.0,0.0
172,3907,48.5999984741,0.0,1.0,1.0,0.0
173,3908,63.8000005086,0.0,0.0,3.0,0.666666666667
174,3909,48.5,0.0,1.0,1.0,0.0
175,3914,51.433333079,0.0,0.666666666667,3.0,0.0
176,3915,62.5999984741,0.0,0.0,1.0,1.0
177,3917,49.0,0.0,1.0,1.0,0.0
178,3918,55.5,0.0,0.0,1.0,1.0
179,3919,60.2999992371,0.0,0.0,1.0,0.0
180,3920,59.7999992371,0.0,0.0,1.0,0.0
181,3923,64.8000030518,0.0,0.0,1.0,1.0
182,3930,63.9000015259,0.0,0.0,1.0,1.0
183,3935,47.5,0.0,1.0,1.0,0.0
184,3936,49.75,0.0,1.0,1.0,0.0
185,3944,63.7000007629,0.0,0.0,1.0,0.0
186,3954,68.3000030518,0.0,0.0,1.0,1.0
187,3963,63.0,0.0,0.0,1.0,0.0
188,3978,55.0,0.0,0.0,1.0,0.0
189,3992,68.9000015259,0.5,0.0,2.0,0.5
190,4012,63.7000007629,0.0,0.0,1.0,0.0
191,4014,65.7999992371,0.0,0.0,2.0,0.5
